20210126,白云,黄边,金碧雅苑 11栋东向单边位两房 随时可以看房 无贷款,254万,低楼层                                    (共18层)                                                                      | 2005年建 |                                2室2厅 | 68.05平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_1zWuh9NOb.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,黄边,时代玫瑰园，东南望花园安静三房，双阳台。采光通风好必看好房,458万,低楼层                                    (共18层)                                                                      | 2006年建 |                                3室1厅 | 125平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_WZ9KTmDJY.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,黄边,玫瑰园三期正南向两房，望设计之都，采光通风好,330万,中楼层                                    (共18层)                                                                      | 2008年建 |                                2室1厅 | 76.72平米                                  | 南,http://ke-image.ljcdn.com/440100-inspection/pc1_AF99HfuSU_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,黄边,此房格局方正，中高楼层，视野开阔，采光充足...必看好房,252万,高楼层                                    (共18层)                                                                      | 2005年建 |                                2室1厅 | 71.53平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_RL6pIYx62.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,黄边,满五唯一 新装修 中高层 业主诚心出售,266万,高楼层                                    (共18层)                                                                      | 2005年建 |                                2室2厅 | 71.53平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_lZLhgPwol.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,黄边,交通便利，双地铁物业，厅出阳台，带花园,310万,低楼层                                    (共18层)                                                                      | 2005年建 |                                2室2厅 | 70.78平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_uDf4ry0vM_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,黄边,近望鸟语花香，远望万家灯火 北向，厅出阳台望花园,666万,低楼层                                    (共16层)                                                                      | 2008年建 |                                4室2厅 | 156.21平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_T08SroR6G.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,黄边,玫瑰园三期精装南向三房厅出阳台交通便利,390万,低楼层                                    (共18层)                                                                      | 2008年建 |                                3室2厅 | 91.91平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_GiEnXzqYn.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,黄边,时代玫瑰园，高楼层望花园，安静新上,620万,高楼层                                    (共18层)                                                                      | 2008年建 |                                3室1厅 | 126.96平米                                  | 北,http://ke-image.ljcdn.com/440100-inspection/prod-442f32c2-6448-4081-beba-c5496aaa47fc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,黄边,金碧雅苑 3室1厅 西,430万,低楼层                                    (共17层)                                                                      | 2005年建 |                                3室1厅 | 97.13平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_zkEpXFW7v.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
