20210126,白云,夏茅,富力城南区  望小区花园，安静，保养好，自住,242万,中楼层                                    (共18层)                                                                      | 2005年建 |                                2室2厅 | 83.62平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_1GqJQ5ggv.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,南区中高楼层小三房，望花园，实用经典小三房户型,280万,中楼层                                    (共17层)                                                                      | 2007年建 |                                3室2厅 | 91.9平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_CyQkWfid3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,高层南向大两房，高层望花园，2+1必看好房,258万,高楼层                                    (共18层)                                                                      | 2005年建 |                                2室2厅 | 89平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_Dog46uKKn.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,此房满五唯一，中楼层，东北望湖,360万,低楼层                                    (共18层)                                                                      | 2006年建 |                                3室2厅 | 114.42平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_aZPVZVWVJ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,富力城 中高楼层 南向 光线充足,223万,中楼层                                    (共12层)                                                                      | 2008年建 |                                2室1厅 | 79.9平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_mbYxafikp.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,富力城南区 2室1厅 西南新上,220万,低楼层                                    (共17层)                                                                      | 2006年建 |                                2室1厅 | 84.89平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_1iraLg6h0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,都市品格 朝向好 通风光线足 户型方正实用,360万,中楼层                                    (共24层)                                                                      | 2013年建 |                                2室2厅 | 91.2平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_fQDEhlEvU.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,富力城北区 高楼层  两房 望小区花园，视野好，保养好,220万,高楼层                                    (共12层)                                                                      | 2008年建 |                                2室1厅 | 79.97平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_wV1oC6DOA.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,广州富力城 西南向大两房 采光充足 视野开阔,245万,中楼层                                    (共17层)                                                                      | 2007年建 |                                2室1厅 | 84.98平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_qcAceqwtO.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,光线充足 视野开阔 格局方正 精装两房,210万,低楼层                                    (共12层)                                                                      | 2008年建 |                                2室2厅 | 79.98平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_O6XdaVPx5_2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,广州富力城北区 正南向 保养好 格局方正,333万,高楼层                                    (共12层)                                                                      | 2008年建 |                                3室1厅 | 95.12平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_TSec4WEJs.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,满五唯一，东南朝向，带有大平台,315万,低楼层                                    (共17层)                                                                      | 2008年建 |                                3室2厅 | 88.83平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_W2FHzq06j.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,广州富力城 南向三房 精装修 保养好 高层,270万,高楼层                                    (共17层)                                                                      | 2008年建 |                                3室2厅 | 86.58平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_SqzDoXluE.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,都市品格，一房南向高楼层，通风好,150万,高楼层                                    (共24层)                                                                      | 2013年建 |                                1室0厅 | 40.29平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_rh5CaC1rI.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,富力城 北区 望花园 安静 两房,213万,中楼层                                    (共12层)                                                                      | 2008年建 |                                2室1厅 | 79.45平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_t469MlukQ.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,光线充足 视野开阔 格局方正 精装两房,222万,中楼层                                    (共12层)                                                                      | 2008年建 |                                2室2厅 | 79.58平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_qICzP19BI.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,93方东北向小三房，户型方正，满二无抵押,275万,低楼层                                    (共17层)                                                                      | 2010年建 |                                3室2厅 | 93.39平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_wHJ1fq9rY.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,业主诚心出售精装房，满两年，光线好,330万,中楼层                                    (共11层)                                                                      | 2013年建 |                                3室2厅 | 95.02平米                                  | 东 北,http://ke-image.ljcdn.com/110000-inspection/pc1_zjkolXV97.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,广州富力城 高楼层 东南朝向 保养装修好,280万,高楼层                                    (共18层)                                                                      | 2005年建 |                                2室2厅 | 84平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_wCdyKUkNf.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,对流户型，通风舒适，楼层好大两房,260万,中楼层                                    (共17层)                                                                      | 2007年建 |                                2室1厅 | 85.93平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_1RXXJdGLO.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,南北对流，南向两房，户型方正，采光通风效果好,220万,高楼层                                    (共18层)                                                                      | 2009年建 |                                2室2厅 | 76.84平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_hHqrWkM5B_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,富力城北区 南北对流户型 采光通风好 保养好 看房方便,220万,高楼层                                    (共12层)                                                                      | 2008年建 |                                2室2厅 | 79.97平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_sSP7Id6Aw.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,富力城北区，朝向东，低楼层，望小区花园,238万,低楼层                                    (共17层)                                                                      | 2010年建 |                                2室2厅 | 88.97平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_I8PLFQRpF.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,广州富力城  高层大两房  视野开阔 可望白云山,230万,高楼层                                    (共17层)                                                                      | 2006年建 |                                2室2厅 | 83.92平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_zom5sFLWW.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,富力城北区楼层好的电梯房，采光好，满五唯一,275万,低楼层                                    (共12层)                                                                      | 2008年建 |                                3室2厅 | 95.88平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_TRlhSBk7g.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,富力城南区 大三房 望花园 户型方正,400万,低楼层                                    (共18层)                                                                      | 2009年建 |                                3室2厅 | 125平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_DMoqBMd0i.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,富力城 北区 南向方正户型 业主放卖了,330万,低楼层                                    (共18层)                                                                      | 2009年建 |                                3室2厅 | 93.45平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_JrdH4EHmU.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,格局方正，温馨舒适，精装修保养好，望花园安静景观好,240万,中楼层                                    (共18层)                                                                      | 2006年建 |                                2室2厅 | 84平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_OeWVLZeHh.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,都市品格满五唯一三房，户型方正，通风采光好,336万,低楼层                                    (共24层)                                                                      | 2013年建 |                                3室1厅 | 99.29平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/71e3f200-6ad2-41b3-b23f-bb42054414bf_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,宜居三房、视野无遮挡、生活配套齐全,330万,高楼层                                    (共24层)                                                                      | 2013年建 |                                3室2厅 | 99.28平米                                  | 西 西北 北,http://ke-image.ljcdn.com/110000-inspection/pc1_0dTZrikn8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,方正两房 交通便利 配套全 近地铁,100万,低楼层                                    (共6层)                                                                      | 1995年建 |                                2室1厅 | 44.09平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_msjaxdusu_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
