20210126,黄埔,黄埔区府,地铁口 全新装修三房 南北对流,323万,低楼层                                    (共8层)                                                                      | 1998年建 |                                3室1厅 | 96.27平米                                  | 南 北,http://ke-image.ljcdn.com/440100-inspection/pc1_M4dc7R6tY_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,黄埔,黄埔区府,南向三房，厅出阳台，双地铁，精装修，,415万,低楼层                                    (共13层)                                                                      | 2000年建 |                                3室2厅 | 101.16平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_hfou7FEhi_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,黄埔,黄埔区府,怡港花园  格局方正  无遮挡  大两房,330万,低楼层                                    (共9层)                                                                      | 2003年建 |                                3室1厅 | 78.34平米                                  | 北,http://ke-image.ljcdn.com/440100-inspection/prod-26772be7-5405-4c02-a67c-d20bc95a1388.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,黄埔,黄埔区府,怡港花园 舒适安静大三房 格局方正 装修保养好 近地铁必看好房,340万,高楼层                                    (共9层)                                                                      | 1999年建 |                                3室2厅 | 102.86平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_ob9EzBIdR_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,黄埔,黄埔区府,满五唯一.5号线大沙东地铁站400米刚需上车两房必看好房,246万,高楼层                                    (共8层)                                                                      | 2006年建 |                                2室1厅 | 72.17平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_fP1oNuPuX_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,黄埔,黄埔区府,怡港花园，中层电梯东向，采光通风好,435万,中楼层                                    (共17层)                                                                      | 2004年建 |                                2室2厅 | 88.14平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_kJbzIE7tD_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,黄埔,黄埔区府,金碧领秀  单边位   南向两房    中高楼层   视野开阔必看好房,425万,中楼层                                    (共33层)                                                                      | 2007年建 |                                2室1厅 | 83.31平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_9nvNkfn5R_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,黄埔,黄埔区府,荔园小区 3室1厅 南新上,295万,高楼层                                    (共9层)                                                                      | 1995年建 |                                3室1厅 | 95.92平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_D2uTJxCT4_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,黄埔,黄埔区府,高层两房 采光通风好 交通便利 配套齐,250万,高楼层                                    (共8层)                                                                      | 1997年建 |                                2室1厅 | 67.5平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_Gd0j1Eblt_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,黄埔,黄埔区府,近地铁五号线  准电梯房 通风采光好，满二唯一,255万,高楼层                                    (共9层)                                                                      | 1999年建 |                                3室2厅 | 82.18平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_90Lsvbs2O_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,黄埔,黄埔区府,新世纪花苑 2室2厅 南必看好房,230万,高楼层                                    (共9层)                                                                      | 1995年建 |                                2室2厅 | 78.82平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_dUPAcl5k6_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,黄埔,黄埔区府,乙烯大院 实用三房 交通便利 配套齐全,308万,高楼层                                    (共8层)                                                                      | 1998年建 |                                3室2厅 | 96.27平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_BNfi4Xycr_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,黄埔,黄埔区府,珠冶小区 中楼层南向大两房 框架结构 可公积金贷款,188万,中楼层                                    (共8层)                                                                      | 2000年建 |                                2室1厅 | 76.6平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_HX5vLfboJ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,黄埔,黄埔区府,楼层好，采光充足，配套设施齐全，交通便利必看好房,230万,中楼层                                    (共9层)                                                                      | 1996年建 |                                2室1厅 | 59.55平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_KMn7o9hsv_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,黄埔,黄埔区府,荔园小区 中层两房 配套成熟 诚心放卖新上,280万,中楼层                                    (共8层)                                                                      | 1995年建 |                                2室2厅 | 76.8平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_iuZitvN21_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,黄埔,黄埔区府,交通方便 刚需 一线江景 户型方正 采光好必看好房,202万,低楼层                                    (共33层)                                                                      | 2007年建 |                                1室1厅 | 38.78平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_6mvDpXeX3_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,黄埔,黄埔区府,此房近地铁，南北向，望花园，安静不吵，适合居住。,350万,高楼层                                    (共8层)                                                                      | 1998年建 |                                2室2厅 | 83.1平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_9k4TAL79V_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,黄埔,黄埔区府,乙烯大院 3室1厅 南 北,313万,中楼层                                    (共8层)                                                                      | 1998年建 |                                3室1厅 | 97平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_1DEfdVSyn_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,黄埔,黄埔区府,碧兰轩 鱼珠板块 临港商务区商圈 楼龄新 电梯一房一厅,203万,高楼层                                    (共11层)                                                                  1室1厅 | 48.8平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_xj0YkxrOF_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
