20210126,荔湾,大坦沙,珠岛花园 精装3房 过五唯一 高层视野开阔,421万,高楼层                                    (共23层)                                                                      | 1999年建 |                                3室1厅 | 82.3平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_U1jfTXKtt.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,大坦沙,花语水岸 独户 精装修 南向实用大三房必看好房,473万,低楼层                                    (共26层)                                                                      | 2015年建 |                                3室2厅 | 108.89平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_BSiRPGx5g.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,大坦沙,花语在售 南向小3房 户型方正 采光好 通风必看好房,435万,高楼层                                    (共26层)                                                                      | 2015年建 |                                3室1厅 | 88.72平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_Hq02YMNXt_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,大坦沙,珠岛一期  加装电梯一房 户型方正 全明屋 满五唯一,118万,中楼层                                    (共9层)                                                                      | 1995年建 |                                1室1厅 | 36.66平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_cWcYHfH6N.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,大坦沙,珠岛花园 实用两房 看房方便 已加装电梯必看好房,210万,高楼层                                    (共9层)                                                                      | 1995年建 |                                2室1厅 | 61.84平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_s9mLZld98_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,大坦沙,花语水岸 精装实用两房 高层望江必看好房,380万,中楼层                                    (共26层)                                                                      | 2015年建 |                                2室2厅 | 76.62平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_YI1vDo80W.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,大坦沙,花语水岸 南北对流  精装大三房 望花园,530万,低楼层                                    (共26层)                                                                      | 2015年建 |                                3室2厅 | 108.28平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_Jw6YeBCK5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,大坦沙,珠岛花园 小户型一房一厅 南向望花园,126.6万,高楼层                                    (共9层)                                                                      | 1995年建 |                                1室1厅 | 43.8平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_JIpbazet2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,大坦沙,万科柏悦湾 总价低 实用3房2卫,378万,低楼层                                    (共34层)                                                                      | 2005年建 |                                3室2厅 | 93.63平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_5Mg0niWki_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,大坦沙,房子东南向，装修保养好，业主诚心卖，看房随时预约,510万,低楼层                                    (共26层)                                                                      | 2015年建 |                                3室2厅 | 108.71平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_8VcpbPO1I.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
