20210126,荔湾,汾水,精装小两房，高层视野开阔，配套完善,140万,高楼层                                    (共9层)                                                                      | 1996年建 |                                2室2厅 | 57.11平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_x10YpcvVF_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,东南 低层两房一厅 精装修， 户型方正，通风采光必看好房,176万,低楼层                                    (共9层)                                                                      | 1995年建 |                                2室1厅 | 60.65平米                                  | 东南,http://ke-image.ljcdn.com/440100-inspection/prod-5b63378e-0626-4aa8-8813-bc7d1ba28eb3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,望江单位 格局实用 精装修 保养好必看好房,240万,高楼层                                    (共33层)                                                                      | 2013年建 |                                2室1厅 | 69.86平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_o34WaZj3g_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,汾水花园 楼龄新 交通方便 户型方正 装修新净必看好房,158万,低楼层                                    (共32层)                                                                  1室1厅 | 47.51平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_zfzPOgASU_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,电梯小两房 户型方正 交通方便 小区绿化好,148万,中楼层                                    (共9层)                                                                      | 2001年建 |                                2室1厅 | 53平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_xnI5Txrhj_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,满五唯一，中层视野采光好,精装修，拎包入住,185万,中楼层                                    (共9层)                                                                      | 1996年建 |                                2室2厅 | 62.7平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_S6eiBpRbO_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,此房满五年唯一 大型生活小区 ，采光好，位置好,86万,中楼层                                    (共9层)                                                                      | 2001年建 |                                1室0厅 | 32.09平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_XbfYxkJi5_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,电梯原装2房，精装修，厅出阳台望小区,188万,中楼层                                    (共9层)                                                                      | 1995年建 |                                2室2厅 | 62.62平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_bbcxCOewH_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,芬芳小区 1室1厅 南,115万,高楼层                                    (共9层)                                                                      | 1996年建 |                                1室1厅 | 43.51平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_6evDgsl9d_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,鸿图苑 证过5年 电梯 东南向 双阳台,210万,中楼层                                    (共9层)                                                                      | 1995年建 |                                2室1厅 | 77.13平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_bJdzwpPAY_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,楼层好，视野宽阔，采光充足，精装修,205万,高楼层                                    (共9层)                                                                      | 1996年建 |                                3室1厅 | 76平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_5C0CxyzZ6_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,原装大两房，中楼层，采光好，双阳台,238万,中楼层                                    (共22层)                                                                      | 2001年建 |                                2室1厅 | 87.32平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_UhSB9Fp04_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,此房过五年唯一，格局方正实用，保养好，拎包可入住！,298万,中楼层                                    (共22层)                                                                      | 2001年建 |                                3室2厅 | 110.48平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_2HR5yyr9E_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,此套房满5唯一，普通装修， 户型方正，通风采光,240万,中楼层                                    (共9层)                                                                      | 1995年建 |                                3室2厅 | 80.53平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_woatdIFRb_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,交通方便 小区环境优美，电梯楼 满五唯一,260万,高楼层                                    (共22层)                                                                      | 2001年建 |                                2室2厅 | 87.33平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_b3MSzwMiy_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
