20210126,荔湾,西朗,金鹤苑 满5唯一 3房西南方向 近地铁  环境舒适,193万,中楼层                                    (共7层)                                                                      | 2000年建 |                                3室1厅 | 73平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_8Wu9T2CO9_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,楼龄新 小区管理 环境幽静 免个税 双阳台南北对流,169万,中楼层                                    (共7层)                                                                      | 2000年建 |                                2室1厅 | 65.13平米                                  | 东 西,http://ke-image.ljcdn.com/110000-inspection/7ff27422-bef5-4e25-b603-1bd5f7bd75c7_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,金鹤苑，西塱地铁口，电梯2房，东南方向，格局方正,184万,中楼层                                    (共7层)                                                                      | 2000年建 |                                2室1厅 | 65平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_9D9nQxVrd_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,此房满5唯一，西南方向，格局方正，小区配套齐全,198万,高楼层                                    (共7层)                                                                      | 2000年建 |                                3室1厅 | 71.5平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_1y0raqaPQ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,房子在东漖街，满5唯一，格局方正，小区配套齐全,178万,中楼层                                    (共7层)                                                                      | 2005年建 |                                2室1厅 | 67平米                                  | 南 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_rm6nRGrKq_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,金鹤苑  三房刚需  安静小区  价格可议,210万,高楼层                                    (共7层)                                                                      | 2000年建 |                                3室1厅 | 84.83平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_NSg3drlPk_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,金鹤苑，电梯3房，低密度社区，楼龄新,268万,高楼层                                    (共7层)                                                                      | 2000年建 |                                3室2厅 | 97.8平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_jhenfJurs_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,金鹤苑，小区环境舒适安静，中楼层，格局方正实用,195万,中楼层                                    (共7层)                                                                      | 2000年建 |                                3室1厅 | 72.86平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_VKJV9kn4A_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,小区环境优美，房子格局方正实用，视野宽阔，采光好,190万,中楼层                                    (共7层)                                                                      | 2000年建 |                                3室1厅 | 72.86平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_gDoTT3asL_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,小区环境优美，房子格局方正实用，视野宽阔，采光好,219.99万,高楼层                                    (共7层)                                                                      | 2000年建 |                                3室2厅 | 72.86平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_J0ENr1Idr_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,大型社区 大两房 楼龄新 配套完善,350万,高楼层                                    (共15层)                                                                      | 2015年建 |                                2室1厅 | 90.48平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_XuZFkXzdj_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
