20210126,番禺,市桥北,此房三房南向、装修保养好，拎包入住,165万,低楼层                                    (共8层)                                                                      | 1998年建 |                                3室1厅 | 72.9平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/4f25f4aa-a6fa-4d7a-b165-5cdd605fa00f_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,番禺,市桥北,南向望园景、户型方正，两个卧室大小合适，电梯小高层,205万,低楼层                                    (共8层)                                                                      | 2003年建 |                                2室1厅 | 66.89平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/778fb38b-71ae-4484-a9c4-446412e81aa0_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,番禺,市桥北,星誉花园新靓装三房 你值得拥有必看好房,310万,低楼层                                    (共18层)                                                                      | 2011年建 |                                3室2厅 | 94.04平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_xyg22a40y_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,番禺,市桥北,鸣翠苑  南向三房  精装修 不靠路,265万,中楼层                                    (共6层)                                                                      | 2001年建 |                                3室2厅 | 88平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_Nw2v7DL6r_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,番禺,市桥北,番艺花园二区08年建成，采光很好望花园，精装大2房,160万,中楼层                                    (共7层)                                                                      | 2008年建 |                                2室1厅 | 62.31平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_iCDmzr3Oj_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,番禺,市桥北,精装修三房，安静舒适，采光充足，小区楼龄新。必看好房,235万,中楼层                                    (共11层)                                                                      | 2013年建 |                                3室2厅 | 82.57平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_hwgCT9PZP_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,番禺,市桥北,彩晴轩，三房带主套，小区中间位置，安静舒适,259万,高楼层                                    (共8层)                                                                      | 2003年建 |                                3室1厅 | 98.58平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/356516ed-120e-4944-992d-60cf84e38483_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,番禺,市桥北,彩晴轩 2室1厅 南,200万,高楼层                                    (共8层)                                                                      | 2003年建 |                                2室1厅 | 67平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_7H3oMvYx2_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,番禺,市桥北,江南新村 近地铁  东南向单边位 装修好 车位充足必看好房,165万,中楼层                                    (共7层)                                                                      | 1998年建 |                                2室1厅 | 77.7平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/916bf1f8-b281-4c0b-b788-19bde082584d_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,番禺,市桥北,温馨里，电梯楼，物业管理，地铁物业必看好房,218万,高楼层                                    (共11层)                                                                      | 2013年建 |                                2室1厅 | 69.56平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_f89rI3lsP_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,番禺,市桥北,东方白云花园 西南向三房 格局方正 小区配套成熟,220万,低楼层                                    (共11层)                                                                      | 2002年建 |                                3室1厅 | 92.66平米                                  | 西南,http://ke-image.ljcdn.com/440100-inspection/prod-e4ab8993-9e4b-4c60-a441-e5f6720ba656.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
