20210126,天河,棠下,南北对流东向单边位天台带大花园近地铁精装正规两房必看好房,148万,高楼层                                    (共10层)                                                                      | 1997年建 |                                2室1厅 | 55.5平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_ZYJqOKk6A_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,已在加装电梯的精装两房  总价低 业主诚意出售必看好房,164万,低楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 53.93平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_AYrWtJEXL_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,骏景小面积南向两房、总价低，采光好必看好房,510万,低楼层                                    (共13层)                                                                      | 2000年建 |                                2室1厅 | 76.05平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_EvKNsgRqd_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,低楼层，独树一帜，公寓folt式住宅，现代风装修,224万,低楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 63.87平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_h8kiO2DCJ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园 改造的小两房 位置好,160万,高楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 56.11平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_aXvJkmokg_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,单边位南向两房 业主自住 诚心出售,170万,中楼层                                    (共10层)                                                                      | 1997年建 |                                2室1厅 | 55.54平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_8RdhI4gvl.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,骏景南北对流小三房、中高层，满五唯一必看好房,537万,中楼层                                    (共13层)                                                                      | 2000年建 |                                3室2厅 | 78.33平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_9yVgCV3b9_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,骏景花园南苑 采光通风好，视野广阔，业主诚售,507万,低楼层                                    (共20层)                                                                      | 2003年建 |                                3室2厅 | 76.86平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_bJhnB8z5b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,此房过五唯一税费低，总价便宜，业主诚心出售,190万,低楼层                                    (共10层)                                                                      | 1997年建 |                                2室1厅 | 55.02平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_KBsdtZcJ2_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,单价低南向高楼层，年后加装电梯理财自住优选好房,288万,高楼层                                    (共9层)                                                                      | 1998年建 |                                3室1厅 | 83.84平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_dNyGLsO6o_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,春江花园 实用两房 厅直出阳台 户型方正 闹中取静必看好房,285万,低楼层                                    (共18层)                                                                      | 2000年建 |                                2室1厅 | 67.68平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_fYqRVazmE_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
