20210128,白云,东平,万科云山东南向三房 花园景观 视野开阔 看房随时方便,343万,高楼层                                    (共18层)                                                                      | 2008年建 |                                3室2厅 | 96.12平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_A1UtcZKAC.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,东平,万科云山花园 3室2厅 东南,325万,低楼层                                    (共18层)                                                                      | 2008年建 |                                3室2厅 | 98.6平米                                  | 东南,http://ke-image.ljcdn.com/440100-inspection/prod-75a8e81f-9682-43ba-a64d-9eb853b86af0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,东平,万科云山高楼层3房   户型好   采光好,330万,高楼层                                    (共31层)                                                                      | 2009年建 |                                3室2厅 | 87.5平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_dNfCbSi1z_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,东平,托斯卡纳 精装修 阳台望山望水 位置安静  风景宜人新上,445万,中楼层                                    (共12层)                                                                      | 2009年建 |                                4室2厅 | 134平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_lSjUSjlyZ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,东平,房子卖点和小区介绍和配套介绍。,380万,低楼层                                    (共29层)                                                                      | 2009年建 |                                3室2厅 | 86.41平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_mVGkd4M7G_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,东平,【全新未入住】万科云山N+1户型 112%使用率 望白云山,470万,中楼层                                    (共31层)                                                                      | 2009年建 |                                3室2厅 | 96.21平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_letDZTuS7_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,东平,万科云山 大四房 南向望园林 景观好,549万,低楼层                                    (共18层)                                                                      | 2008年建 |                                4室2厅 | 149.76平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_8dNsOYp4Y_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,东平,万科云山花园 3室2厅 南,389万,低楼层                                    (共31层)                                                                      | 2009年建 |                                3室2厅 | 94.17平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/2053e12c-71fa-43b9-9b97-180765a20ebe_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,东平,托斯卡纳精装大单间   通风采光好,150万,低楼层                                    (共12层)                                                                      | 2009年建 |                                1室0厅 | 47平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_M4NaEhjhv_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,东平,东平 万科云山花园 小区环境优美 出行方便必看好房,330万,中楼层                                    (共24层)                                                                      | 2008年建 |                                3室2厅 | 99.23平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/4e00e892-d5a5-4155-b4f3-3f4bad4a7113_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
