20210128,白云,嘉禾望岗,岭南新世界 双城故事 3+1户型  东南向必看好房,530万,高楼层                                    (共18层)                                                                      | 2008年建 |                                4室2厅 | 112.2平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_CX58plMXU.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,嘉禾望岗,K区南向四房，望花园，带平台80方，阳光好必看好房,780万,低楼层                                    (共10层)                                                                      | 2008年建 |                                4室2厅 | 127.5平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/bbf314d3-5e31-4d8d-b787-b948843c9a05_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,嘉禾望岗,岭南新世界 西南向2房 格局方正必看好房,350万,高楼层                                    (共18层)                                                                      | 2008年建 |                                2室2厅 | 76.37平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_D5kL07YfM_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,嘉禾望岗,锦云峰 精装三房  保养好  通风好,418万,低楼层                                    (共32层)                                                                      | 2013年建 |                                3室2厅 | 93.58平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_Cx8Pbdm7A_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,嘉禾望岗,岭南新世界       西南向   装修保养新 业主诚心出售必看好房,500万,高楼层                                    (共18层)                                                                      | 2008年建 |                                3室1厅 | 107.82平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/ec59be5a-53de-4884-88d4-5efa80b1bb60_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,嘉禾望岗,岭南新世界 四房三卫 安静望花园必看好房,560万,低楼层                                    (共14层)                                                                      | 2008年建 |                                4室2厅 | 127.8平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_AOj1bYv2Q_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,嘉禾望岗,岭南新世界锦云峰 2室2厅 北,360万,高楼层                                    (共32层)                                                                      | 2013年建 |                                2室2厅 | 80.93平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_0QqUbY7p4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,嘉禾望岗,满五年唯一，通透格局，楼层好，视野开阔，采光充足,690万,高楼层                                    (共13层)                                                                      | 2008年建 |                                4室2厅 | 125.22平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_ESXxdkdJL.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,嘉禾望岗,：户型方正格局好，朝向好，采光通风好，位置安静，,354万,高楼层                                    (共32层)                                                                      | 2013年建 |                                2室2厅 | 81.53平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/5134de07-57cd-4e61-a1f7-d81b46a65e0f_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,嘉禾望岗,岭南新世界带车位4房，保养好，高楼层看花园,538万,高楼层                                    (共12层)                                                                      | 2008年建 |                                4室1厅 | 97.26平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_A8LOR4jZy.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,嘉禾望岗,锦云峰高楼层 东北向3房 户型方正,440万,中楼层                                    (共32层)                                                                      | 2013年建 |                                3室1厅 | 93.56平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_6HpEQ5cmC_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,嘉禾望岗,岭南新世界锦云峰 高层大两房 视野开阔,383万,高楼层                                    (共32层)                                                                      | 2013年建 |                                2室2厅 | 87.66平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_XY60SI819_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,嘉禾望岗,岭南新世界锦云峰 采光通风好 高楼层视野开阔空气好,400万,低楼层                                    (共32层)                                                                      | 2013年建 |                                2室1厅 | 87.01平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_cNTPQFuDP_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,嘉禾望岗,锦云峰  精装三房  中高楼层   通风采光好必看好房,415万,中楼层                                    (共32层)                                                                      | 2013年建 |                                3室2厅 | 93.58平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_UTUbjqyRu_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
