20210128,白云,江夏,云泉居 三房 户型方正 采光好 安静,308万,中楼层                                    (共9层)                                                                      | 1999年建 |                                3室2厅 | 98.91平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_IwKvCfzn5_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,江夏,白云尚城 东南向 满五唯一 望花园 采光好 大四房户型,618万,低楼层                                    (共18层)                                                                      | 2004年建 |                                4室2厅 | 136.33平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_uCvu1Ak01.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,江夏,新兴白云花园 方正两房  精装修 满五唯一,210万,中楼层                                    (共9层)                                                                      | 1999年建 |                                2室1厅 | 69.17平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_hw1gHUE9h.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,江夏,白云花园电梯三房，商品房，交通便利，配套完善,245万,低楼层                                    (共9层)                                                                      | 1999年建 |                                3室2厅 | 83.98平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_uYvWCKWCt_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,江夏,新兴白云花园 精致一房 南向望花园 有电梯新上,160万,中楼层                                    (共9层)                                                                      | 1999年建 |                                1室1厅 | 45.73平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_4i1tdDRoj.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,江夏,新兴白云花园  户型方正  中楼层  采光通风极好,190万,高楼层                                    (共9层)                                                                      | 1999年建 |                                2室1厅 | 57.25平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_4xmLEFnRQ_2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,江夏,新兴白云花园电梯两房 装修保养好 看房方便,201万,中楼层                                    (共9层)                                                                      | 1999年建 |                                2室1厅 | 71.3平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_1XRAn8DKY.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,江夏,新兴白云花园 一房一厅 户型方正 东南向,125万,中楼层                                    (共9层)                                                                      | 1999年建 |                                1室1厅 | 43.92平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_iE3m6YRXN_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,江夏,新兴白云花园南向安静一房一厅望花园白云山满五双地铁,118.8万,高楼层                                    (共9层)                                                                      | 1999年建 |                                1室1厅 | 45.69平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_LF7dgUohW.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,江夏,新兴白云花园 已改两房 满五唯一,118万,高楼层                                    (共9层)                                                                      | 1999年建 |                                2室1厅 | 43.64平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_KZL9zLJwX.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,江夏,白云尚城 3室1厅 西南,570万,高楼层                                    (共18层)                                                                      | 2004年建 |                                3室1厅 | 112.14平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_3psP0v9Lm.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,江夏,白云尚城房子满五唯一，高楼层视野超好，望万达 绿地,489万,高楼层                                    (共18层)                                                                      | 2004年建 |                                3室2厅 | 101.1平米                                  | 南 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_4OBY7wJCj.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,江夏,白云尚城 精装修四房 采光好 自住保养好,695万,低楼层                                    (共23层)                                                                      | 2009年建 |                                4室2厅 | 151.85平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_9Xz0fRm5s.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,江夏,白云尚城  居花园中间  安静舒适景观好,410万,高楼层                                    (共10层)                                                                      | 2010年建 |                                3室2厅 | 87.53平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_K3NgmE0qh.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,江夏,新兴白云花园  正规的一房一厅 电梯房 业主诚心售房,125万,中楼层                                    (共9层)                                                                      | 1999年建 |                                1室1厅 | 45.74平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_S40ZUkewU.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,江夏,新兴白云花园 实用一房一厅 满五唯一,125万,低楼层                                    (共9层)                                                                      | 1999年建 |                                1室1厅 | 43平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_ysHOL20Ji_2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,江夏,新兴白云花园  准电梯 西南向 可望白云山 现两套打通,90万,中楼层                                    (共9层)                                                                      | 1999年建 |                                1室0厅 | 30.32平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_1JzNYUjVT.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,江夏,新兴白云花园 准电梯 西南向 可望白云山 现两套打通,171万,中楼层                                    (共9层)                                                                      | 1999年建 |                                2室1厅 | 57.25平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_ck1dMZrlN.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,江夏,黄边 新兴白云花园 东向 视野开阔 采光好 厅出阳台,125万,中楼层                                    (共9层)                                                                      | 1999年建 |                                1室1厅 | 45.76平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_IEizMaIU3_2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,江夏,云泉居 东南向望花园 通透三居室,275万,低楼层                                    (共12层)                                                                      | 1999年建 |                                3室2厅 | 92.08平米                                  | 西南 西,http://ke-image.ljcdn.com/110000-inspection/pc1_E1cPSMId5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,江夏,新兴白云花园 实用三房 格局方正实用 安静不吵,220万,低楼层                                    (共9层)                                                                      | 1999年建 |                                3室2厅 | 82.01平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_8y49Li4jK_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,江夏,新兴白云花园  视野无遮挡 通风采光好,163万,高楼层                                    (共9层)                                                                      | 1999年建 |                                2室1厅 | 53.02平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_ofOB09ptS_2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,江夏,房源已加装电梯 中楼层 看房方便,130万,低楼层                                    (共9层)                                                                      | 1999年建 |                                1室1厅 | 45.3平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_t4H09d5n4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,江夏,新兴白云花园 1室0厅 西南,81万,低楼层                                    (共9层)                                                                      | 1999年建 |                                1室0厅 | 31.2平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_i0GehDXGF.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,江夏,新兴白云花园 东南看完整个白云山 视野通风采光好,140万,高楼层                                    (共9层)                                                                      | 1999年建 |                                2室1厅 | 49.29平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_mc941M2Qb.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,江夏,新兴白云花园 东南向 电梯高层非顶楼 眺望白云山,220万,高楼层                                    (共9层)                                                                      | 1999年建 |                                3室1厅 | 67.93平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_PttoFsNGz_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,江夏,新兴白云花园两房高实用通风采光好无抵押,156万,高楼层                                    (共9层)                                                                      | 1999年建 |                                2室2厅 | 55.52平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_QERxZ1CxV.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,江夏,电梯房，满五唯一免个税，保养好，带个小平台,227万,低楼层                                    (共9层)                                                                      | 1999年建 |                                3室2厅 | 84.14平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_VAOgRyy1J_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,江夏,新兴白云花园精装修安静两房低楼层,215万,低楼层                                    (共9层)                                                                      | 1999年建 |                                2室2厅 | 71.53平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_eymzujzne.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,江夏,新兴白云花园 两房刚需户型，采光好，环境安静舒适,120万,高楼层                                    (共9层)                                                                      | 1999年建 |                                2室1厅 | 47.07平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_FwyNpuZ87.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,江夏,白云尚城 满五唯一 安静望花园 中层 刚需实用三房,470万,中楼层                                    (共11层)                                                                      | 2010年建 |                                3室2厅 | 98.27平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_zYmZbRPs9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,江夏,此房满五唯一 ，楼层好，看房方便,615万,中楼层                                    (共28层)                                                                      | 2010年建 |                                3室2厅 | 118平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_yWKcFjXoP.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,白云,江夏,云泉居 3室2厅 东南,290万,中楼层                                    (共10层)                                                                      | 1999年建 |                                3室2厅 | 99.8平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_CPTU7MVja.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
