20210128,海珠,新港西,穗发花园 中层小两房 精致装修 随时看房,168万,中楼层                                    (共8层)                                                                      | 1999年建 |                                2室1厅 | 45.31平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_5oz0ZJ85T_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,海珠,新港西,中大地铁 顺景雅苑 园林小区 三房一厅 随时可看必看好房,345万,低楼层                                    (共13层)                                                                      | 2000年建 |                                3室1厅 | 80.64平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_wl24qizs1_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,海珠,新港西,鹭江地铁 精装小两房 南向单位 实用率高 近江边必看好房,170万,高楼层                                    (共8层)                                                                      | 1997年建 |                                2室1厅 | 47.41平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_rlOAdkpDH_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,海珠,新港西,滨江东次新房，08年楼龄。三房带主套，可望广州塔。必看好房,710万,高楼层                                    (共18层)                                                                      | 2008年建 |                                3室2厅 | 124.4平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_7ipW0Jx6d_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,海珠,新港西,准电梯 刚需两房 满五唯一 价格实惠必看好房,185万,高楼层                                    (共8层)                                                                      | 1999年建 |                                2室1厅 | 59.46平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_Lr4LZIDQR_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,海珠,新港西,鹭江站旁，光华小区，南向2房，中间楼层,188万,中楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 64.32平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/d93ea3c5-ca56-4da0-a36f-330b6e2b62b6_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,海珠,新港西,雅景苑 鹭江地铁 南北对流大两房 通风采光好,235万,中楼层                                    (共9层)                                                                      | 2002年建 |                                2室1厅 | 63.3平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_mlwbSyAKx_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,海珠,新港西,中大科教楼唯一放盘，低价好房，交通便利,63万,中楼层                                    (共6层)                                                                      | 1990年建 |                                1室0厅 | 21.65平米                                  | 北 西,http://ke-image.ljcdn.com/110000-inspection/pc1_LM3Yxb2sK_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,海珠,新港西,雅景苑东南向2房 单边位 自住保养新净,235万,高楼层                                    (共9层)                                                                      | 2002年建 |                                2室1厅 | 61.58平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_lRS7URIGZ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,海珠,新港西,顺景雅苑，电梯三房，采光通风好必看好房,350万,低楼层                                    (共13层)                                                                      | 2000年建 |                                3室1厅 | 80.63平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_MT3isszvU_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,海珠,新港西,晓南花园  楼龄新  配套齐全  有钥匙 看房方便,255万,中楼层                                    (共9层)                                                                      | 1997年建 |                                3室1厅 | 103.14平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_azcfdsleC_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,海珠,新港西,康怡花园 厅出阳台望花园 安静两房 景观靓丽,215万,高楼层                                    (共9层)                                                                      | 1994年建 |                                2室1厅 | 73.2平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_SyDqLekyn_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,海珠,新港西,华乐苑 鹭江客村双地铁 电梯大一房 有钥匙看房必看好房,216万,高楼层                                    (共9层)                                                                      | 2001年建 |                                1室1厅 | 52.73平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_Jg0eBwojy_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,海珠,新港西,低层三房 校园环境 一梯两户 高实用率 精装修 对流,415万,中楼层                                    (共8层)                                                                      | 1997年建 |                                3室2厅 | 91.12平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/53ae1c67-83c5-4649-8a51-aa3dc90d0064_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,海珠,新港西,晓港东 准电梯楼 刚需两房 户型方正 厅出阳台必看好房,183万,中楼层                                    (共9层)                                                                      | 1998年建 |                                2室1厅 | 60.22平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_1XXrG1m6m.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,海珠,新港西,顺景雅苑 封闭式花园小区 地铁口 南向大三房必看好房,490万,低楼层                                    (共13层)                                                                      | 2000年建 |                                3室1厅 | 112.16平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_qsl2NycOo_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,海珠,新港西,近地铁南向两房  户型方正  精装修带家私电器必看好房,190万,中楼层                                    (共8层)                                                                      | 1993年建 |                                2室1厅 | 67.58平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_gU5J7xeMT_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,海珠,新港西,柏蕙花园 3室2厅 北 南,600万,高楼层                                    (共15层)                                                                      | 2002年建 |                                3室2厅 | 120.57平米                                  | 北 南,http://ke-image.ljcdn.com/440100-inspection/pc1_ZebISu3qt_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,海珠,新港西,中大地铁板块 两房户型 过五年物业,170万,高楼层                                    (共8层)                                                                      | 1988年建 |                                2室1厅 | 66.55平米                                  | 东南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_b2pmFbXN1_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,海珠,新港西,地铁口  南向靓房 业主诚心卖 一室一厅,66万,中楼层                                    (共9层)                                                                      | 1997年建 |                                1室1厅 | 23.22平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_DYX62ewQN_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,海珠,新港西,瑞康大厦，小户型，通风好，采光充足，实用,105万,高楼层                                    (共9层)                                                                      | 1997年建 |                                1室1厅 | 34.33平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_FNrwbUoAP_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,海珠,新港西,原装电梯房，采光充足，视野开阔， 配套完善 旺中带静,265万,低楼层                                    (共23层)                                                                      | 1998年建 |                                3室1厅 | 80.97平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_Bdunv1ePv_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,海珠,新港西,海运局宿舍，中大商圈，实用南向两房,263万,高楼层                                    (共23层)                                                                      | 1994年建 |                                2室1厅 | 79.76平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_oIAI9mN8v_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,海珠,新港西,南晓苑通风采光好，拎包入住，安静舒适,155万,高楼层                                    (共9层)                                                                      | 1998年建 |                                2室1厅 | 53.14平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_26f3xx6bj_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,海珠,新港西,华乐苑 3室1厅 东南 东新上,350万,高楼层                                    (共9层)                                                                      | 1999年建 |                                3室1厅 | 82.56平米                                  | 东南 东,http://ke-image.ljcdn.com/110000-inspection/pc1_8VnfKnvKr_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,海珠,新港西,东二马路全新三房，全新装修，拎包入住新上,139万,高楼层                                    (共6层)                                                                  3室1厅 | 49平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_5eFJpURQX_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,海珠,新港西,轻工学院单位宿舍，大院安静宜居，环境优良,238万,低楼层                                    (共9层)                                                                  2室2厅 | 66.78平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_0ASFJ4q0R_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
