20210128,荔湾,人民北,交易会宿舍  站前横路  实用两房单位  中层,220万,高楼层                                    (共8层)                                                                      | 1992年建 |                                2室1厅 | 66.24平米                                  | 东,http://ke-image.ljcdn.com/440100-inspection/prod-f8843680-29f7-40a2-9d2b-79d2c7fb4c3b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,荔湾,人民北,交易会宿舍(站前横路) 2室1厅 东,150万,低楼层                                    (共8层)                                                                      | 1992年建 |                                2室1厅 | 40平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_n2zhGr1Vj.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,荔湾,人民北,精装两房一厅中高层成熟配套，交通畅通，生活配套齐全,130万,高楼层                                    (共8层)                                                                      | 1992年建 |                                2室1厅 | 42.77平米                                  | 南 西,http://ke-image.ljcdn.com/110000-inspection/pc1_SyqHvJuYO.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,荔湾,人民北,户型方正，采光好，满二唯一，二房一厅加装电梯,230万,高楼层                                    (共8层)                                                                      | 1992年建 |                                2室1厅 | 66.5平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_ZEMgnqABV.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,荔湾,人民北,满五唯一，东北向，2房1厅，越秀区,455万,中楼层                                    (共14层)                                                                      | 2000年建 |                                2室1厅 | 92.38平米                                  | 北,http://ke-image.ljcdn.com/440100-inspection/prod-ae953f3b-944d-4896-9107-2f420797cc10.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,荔湾,人民北,站前横路 流花湖边 高铁站旁 框架结构 屋内直通天台,240万,高楼层                                    (共6层)                                                                      | 1992年建 |                                3室1厅 | 85.54平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_qC6Jhiow7_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,荔湾,人民北,采光好，视野开阔，大院管理，满五不唯一，近公园,253万,低楼层                                    (共8层)                                                                      | 1992年建 |                                4室1厅 | 95.78平米                                  | 东,http://ke-image.ljcdn.com/440100-inspection/pc1_b5LprlW7e_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,荔湾,人民北,流花雅轩 南向三房 带主套 精装修 成熟小区 配套齐全,651万,低楼层                                    (共32层)                                                                      | 2000年建 |                                3室2厅 | 119.88平米                                  | 东 南,http://ke-image.ljcdn.com/440100-inspection/prod-5d81ffc7-d8d8-4490-8975-05b7a0323254.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,荔湾,人民北,站前横路 全明屋 通风好 采光充足 三房一厅,380万,低楼层                                    (共6层)                                                                      | 1992年建 |                                3室1厅 | 70.1平米                                  | 南,http://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=202101261829353
20210128,荔湾,人民北,三房两厅   户型方正   西南北三面采光,508万,中楼层                                    (共14层)                                                                      | 2000年建 |                                3室1厅 | 111.43平米                                  | 西南,http://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=202101261829353
20210128,荔湾,人民北,三房一厅，小区管理，近公园，近公交车站,298万,中楼层                                    (共8层)                                                                      | 1992年建 |                                3室1厅 | 97.12平米                                  | 南 北,http://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=202101261829353
20210128,荔湾,人民北,低层3房，格局好，近公园，近公交车站,198万,低楼层                                    (共6层)                                                                      | 1992年建 |                                3室1厅 | 65平米                                  | 东,http://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=202101261829353
20210128,荔湾,人民北,越秀区   两房一厅 南/北向 近公园 交通便利,280万,低楼层                                    (共8层)                                                                  2室1厅 | 92平米                                  | 南 北,http://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=202101261829353
