20210128,番禺,华南碧桂园,翠云山电梯高层，视野开阔无遮挡， 过五年省税,340万,高楼层                                    (共18层)                                                                      | 2001年建 |                                3室2厅 | 110平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_k6jWfKd90_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南碧桂园,华南碧桂园精装四房 别墅景观无遮挡 全新拎包入住,598万,中楼层                                    (共11层)                                                                      | 2001年建 |                                4室2厅 | 154.15平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_90LDRI6GO_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南碧桂园,过五唯一物业，中间楼层，采光好,287万,中楼层                                    (共18层)                                                                      | 2010年建 |                                2室1厅 | 87.72平米                                  | 南,http://ke-image.ljcdn.com/440100-inspection/prod-a3691cfd-b39a-47d2-b7c9-e4def5731577.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南碧桂园,华南碧桂园翠云山电梯三房保养新产权清晰诚意出售,360万,中楼层                                    (共18层)                                                                      | 2001年建 |                                3室2厅 | 109.98平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_6gR3tjnIV_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南碧桂园,华南碧桂园翠云山单价只需2万5,415万,低楼层                                    (共11层)                                                                      | 2001年建 |                                4室2厅 | 153.9平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_jU8Bisb4V_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南碧桂园,电梯三房，户型方正，高层采光好 配套完善 出行方便,343万,低楼层                                    (共18层)                                                                      | 2005年建 |                                3室2厅 | 109.84平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_t7i8Fnu8e_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南碧桂园,华南碧桂园翠山蓝天苑 4室1厅 南,630万,中楼层                                    (共7层)                                                                      | 2007年建 |                                4室1厅 | 171.75平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_Wr52Yxq9h_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南碧桂园,华南碧桂园岭御苑 2室1厅 北,280万,低楼层                                    (共18层)                                                                      | 2010年建 |                                2室1厅 | 85.61平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_cpaAINK8Y_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南碧桂园,华南碧桂园急售三房！！！东南向景观好！满五唯一!！,375万,高楼层                                    (共18层)                                                                      | 2010年建 |                                3室2厅 | 96.22平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_bHpxYEFQw_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南碧桂园,华南碧桂园翠山蓝天苑 3室2厅 北,510万,中楼层                                    (共7层)                                                                      | 2007年建 |                                3室2厅 | 117.52平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_DLaezYjXB_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南碧桂园,翠云山精致三房，高楼层保养好，业主诚心出售,350万,高楼层                                    (共18层)                                                                      | 2001年建 |                                3室2厅 | 110平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_yEvsjikBv_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南碧桂园,电梯高层，望山景，采光通风好 视野开阔，看房方便,357万,高楼层                                    (共18层)                                                                      | 2010年建 |                                2室1厅 | 93.89平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_5uYn6rIK4_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南碧桂园,华南碧桂园翠云山精装电梯3房 看过都说好,450万,低楼层                                    (共11层)                                                                      | 2004年建 |                                3室1厅 | 154.65平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_eCbu27WuQ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南碧桂园,翠云山 精装三房 高层视野开阔 配套齐全 交通便利,380万,高楼层                                    (共18层)                                                                      | 2001年建 |                                3室2厅 | 109.78平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_D3VY0mQxQ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南碧桂园,房子户型很实用，大型小区物业好，保养好,468万,高楼层                                    (共11层)                                                                      | 2001年建 |                                3室1厅 | 154平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_xN8eOGyn0_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南碧桂园,三房带主套 近地铁口 看房方便 诚心放卖,498万,低楼层                                    (共8层)                                                                      | 2007年建 |                                3室2厅 | 116平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_oh4uIQWNp_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南碧桂园,户型方正，望别墅景观好，停车方便，两梯四户,339万,低楼层                                    (共18层)                                                                      | 2009年建 |                                3室2厅 | 98平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_TgMCwN5Xx_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
