20210128,番禺,华南新城,此房证满五年，税费少，户型方正，南北通透望江景观好,1050万,低楼层                                    (共30层)                                                                      | 2011年建 |                                4室2厅 | 268.16平米                                  | 南 北,http://ke-image.ljcdn.com/440100-inspection/pc1_pIywEsMtK_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城 楼层好 视野宽阔 采光充足 配套设施齐全,530万,低楼层                                    (共24层)                                                                      | 2011年建 |                                3室2厅 | 134.03平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_PQL5T9MNE_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城实用三房 视野空间大 门口有独立使用空间,290万,低楼层                                    (共12层)                                                                      | 2003年建 |                                3室2厅 | 91平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_qSZQ6OYNe_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城南区高层 视野广采光好 业主诚售必看好房,425万,中楼层                                    (共11层)                                                                      | 2011年建 |                                3室2厅 | 120平米                                  | 东 西,http://ke-image.ljcdn.com/110000-inspection/pc1_3iV7woKvH_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城 3室2厅 北,295万,低楼层                                    (共12层)                                                                      | 2011年建 |                                3室2厅 | 90.52平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_BemRRIMse_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,一楼带小花园户型不超144业主诚心放售,465万,低楼层                                    (共6层)                                                                      | 2003年建 |                                3室2厅 | 144.8平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_v8ENCMevs_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,东南向望园景 中层 环境安静优美,458万,中楼层                                    (共11层)                                                                      | 2003年建 |                                3室2厅 | 145.13平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_EFFJSShHU_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城满五年唯一 电梯1梯2户南向 格局好 中间楼层,558万,低楼层                                    (共12层)                                                                      | 2004年建 |                                4室1厅 | 164.8平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_wqmyBS31m_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城南区 中高楼层 实用3+1户型,450万,中楼层                                    (共12层)                                                                      | 2004年建 |                                4室2厅 | 128.8平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_rFws01H0D_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城 山趣轩 2013年交楼 东南向高层 视野开阔,688万,高楼层                                    (共24层)                                                                      | 2011年建 |                                4室2厅 | 178.22平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_xXdgdsd2p_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城 高层复式 户型好 房子满五年 保养新诚意急售,700万,高楼层                                    (共11层)                                                                      | 2011年建 |                                5室2厅 | 211.6平米                                  | 东 南,http://ke-image.ljcdn.com/440100-inspection/prod-5641c1c9-f69f-4adf-95a7-7225798e8386.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,此房满五唯一 南区高层望湖  视野宽阔   业主诚售,551万,中楼层                                    (共12层)                                                                      | 2004年建 |                                4室2厅 | 152.91平米                                  | 东 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_zNK9q6nzV_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城 北区南向大三房 装修保养好,467万,高楼层                                    (共11层)                                                                      | 2011年建 |                                3室1厅 | 132.48平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_pTCPRq7ix_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城南区 东南向三房 视野开阔必看好房,400万,高楼层                                    (共12层)                                                                      | 2011年建 |                                3室2厅 | 104平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_YIyUz1KZ9_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城 3室2厅 南必看好房,265万,高楼层                                    (共6层)                                                                      | 2011年建 |                                3室2厅 | 85.86平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_h06cyjQjn_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,此房满五唯一，中间楼层 采光视野好，近校区读书方便,266万,低楼层                                    (共11层)                                                                      | 2005年建 |                                2室2厅 | 84平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_ZygY2o610_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,东南朝向的三房，采光通风都很好,418万,低楼层                                    (共18层)                                                                      | 2011年建 |                                3室1厅 | 110.4平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_oIC9di1wN_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,东向高层 实用面积大 阳光通风好,293万,中楼层                                    (共11层)                                                                      | 2003年建 |                                2室1厅 | 84.7平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_pFLkCphEN_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,视野宽阔，采光充足，交通便利，华南新城，低密度四房,430万,中楼层                                    (共6层)                                                                      | 2011年建 |                                4室2厅 | 140平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_mU0vUZy1N_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城 南区 东南向3+1户型,395万,低楼层                                    (共12层)                                                                      | 2011年建 |                                3室2厅 | 107.94平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_KdSuUaPXz_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城南区三房   满五唯一   业主诚心出售,480万,低楼层                                    (共11层)                                                                      | 2004年建 |                                3室2厅 | 145平米                                  | 东南 南,http://ke-image.ljcdn.com/110000-inspection/pc1_s1tgDoT6i_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城南向大三房，楼层中间楼层，保养好！！,460万,中楼层                                    (共11层)                                                                      | 2011年建 |                                3室2厅 | 145.72平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_u8AZh8r8U_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城 2室1厅 东,320万,中楼层                                    (共11层)                                                                      | 2011年建 |                                2室1厅 | 95.27平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_1f5yZjm9l_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,本房屋南北对流，房间通风很好，看房方便,242万,中楼层                                    (共6层)                                                                      | 2011年建 |                                2室1厅 | 70平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_nkYNcngjJ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城顶复望花园，实用面积高,788万,高楼层                                    (共12层)                                                                      | 2011年建 |                                5室2厅 | 261.2平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_a1Sk3BJoL_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城 北区电梯房 自主保养好 过五唯一,450万,低楼层                                    (共11层)                                                                      | 2011年建 |                                3室2厅 | 124.5平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_V2kflOj3j_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
