20210128,番禺,祈福新村,祈福新村湖景居 2房 产权满五唯一 自住保养新净必看好房,155万,中楼层                                    (共4层)                                                                      | 1998年建 |                                2室1厅 | 61.4平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_Xa4JXRAem.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,祈福新村,祈福缤纷汇 小户型实用两房 装修保养好必看好房,195万,高楼层                                    (共33层)                                                                      | 2017年建 |                                2室1厅 | 53平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_mONaL1z3y_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,祈福新村,此房 低楼层 装修保养干净 小区环境优美,128万,中楼层                                    (共4层)                                                                      | 1999年建 |                                2室1厅 | 50.8平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_g4D2ZjidZ_2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,祈福新村,缤纷汇2房 无遮挡 采光充足 业主在住方便看必看好房,280万,高楼层                                    (共33层)                                                                      | 2017年建 |                                2室2厅 | 72.56平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_PxSEIYP6X_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,祈福新村,祈福新村C区68.9方 眼镜房  靓装修 保养好  拎包入住必看好房,158万,低楼层                                    (共3层)                                                                      | 1995年建 |                                2室2厅 | 68.9平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_8pQM3qTeh.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,祈福新村,南向3房  南北对流  保养好  看房方便,210万,中楼层                                    (共4层)                                                                      | 1999年建 |                                3室2厅 | 81.7平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_EBmAgGLoc_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,祈福新村,近缤纷汇，祈福湖，东南北单边位，过五唯一必看好房,156万,低楼层                                    (共3层)                                                                      | 1995年建 |                                2室2厅 | 66平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_T9HqayNnG_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,祈福新村,交通便利  配套成熟   采光充足必看好房,145万,高楼层                                    (共4层)                                                                      | 1995年建 |                                2室1厅 | 47平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_sCsFHKGqK_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,祈福新村,祈福A区 精装两房 一楼带花园 干净舒适 户型方正实用,131万,低楼层                                    (共4层)                                                                      | 1994年建 |                                2室2厅 | 56.96平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_NMQnFxmyr_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,祈福新村,祈福新村C区 南向大两房 业主诚意出售 近地铁口,158万,低楼层                                    (共3层)                                                                      | 1995年建 |                                2室2厅 | 68.9平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_Vg7zqa0Vc_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
