20210128,天河,天河公园,东晖花园 03年楼 小高层电梯东向 不靠马路 带113指标必看好房,735万,中楼层                                    (共9层)                                                                      | 1999年建 |                                3室1厅 | 90.46平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_by4oDpxo8_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,天河公园,粤韵庭园 2室1厅 南必看好房,410万,中楼层                                    (共12层)                                                                      | 2003年建 |                                2室1厅 | 73.11平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_SEl2j6X0s_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,天河公园,天河鸿运花园 低楼层 户型方正实用大阳台必看好房,358万,低楼层                                    (共9层)                                                                      | 1999年建 |                                3室1厅 | 108.65平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_cNvyATyDR_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,天河公园,华港花园三期 高层东南向 视野开阔 居住舒适必看好房,835万,高楼层                                    (共25层)                                                                      | 2004年建 |                                3室2厅 | 102.95平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_dNxgSheGm_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,天河公园,金兴花园 中高层 户型方正 安静舒适,286万,中楼层                                    (共9层)                                                                      | 1996年建 |                                2室1厅 | 59.27平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_aYjMBHsiP_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,天河公园,精装修两房 拎包入住  近天河公园 配套齐全 交通便利必看好房,259万,高楼层                                    (共9层)                                                                      | 1997年建 |                                2室2厅 | 58.91平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_caV7E8jdG_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,天河公园,天河公园，东南向三房小区成熟，小区安静宜居交通便利必看好房,338万,中楼层                                    (共8层)                                                                      | 1998年建 |                                3室1厅 | 72.17平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_CcNvCCCk8_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,天河公园,天河公园 鸿运花园 准电梯房 一梯两户 东南向,330万,高楼层                                    (共9层)                                                                      | 1999年建 |                                2室2厅 | 77.89平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_iqKrSAOLy_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,天河公园,东逸花园 南向两房 户型方正 采光充足,768万,中楼层                                    (共28层)                                                                      | 2003年建 |                                2室1厅 | 79.6平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_yXiv1rAB9_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,天河公园,近天河公园 全明格局 配套齐全 交通便利必看好房,309万,高楼层                                    (共8层)                                                                      | 1997年建 |                                2室1厅 | 67.6平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_P0im7UsGJ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,天河公园,粤和楼 4室2厅 东南,635万,中楼层                                    (共18层)                                                                      | 2000年建 |                                4室2厅 | 130.8平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_ze8jtedcv_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,天河公园,精装修 电梯3房 安静不吵望花园,599万,低楼层                                    (共19层)                                                                      | 1996年建 |                                4室2厅 | 114.72平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_fbS7IkESc_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,天河公园,华江花园 电梯两房 装修保养好 交通方便,300万,低楼层                                    (共9层)                                                                      | 2000年建 |                                2室1厅 | 55.09平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_6IMNHvAYd_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,天河公园,天河公园 厅出阳台南向两房 可看小蛮腰,300万,高楼层                                    (共9层)                                                                      | 2000年建 |                                2室2厅 | 83.33平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_bF0wOURD6_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,天河公园,天河公园旁东南向一房，视野开阔户型方正,239万,低楼层                                    (共19层)                                                                      | 2000年建 |                                1室1厅 | 55.55平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_poKHm2S7X_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,天河公园,房子方正实用 安静宜居 采光好,1228万,中楼层                                    (共10层)                                                                      | 1999年建 |                                4室1厅 | 164.66平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_s4BdmbtUj_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,天河公园,准电梯小两房，精装修，位置优越,207万,高楼层                                    (共9层)                                                                      | 2001年建 |                                2室1厅 | 41.61平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_lpIWu8ldE_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,天河公园,一手业主新装修 舒适安静 户型方正实用,595万,中楼层                                    (共17层)                                                                      | 2001年建 |                                3室2厅 | 92平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_Gmyq3n318_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,天河公园,满五唯一安静户型方正三房，近地铁交通方便,398万,中楼层                                    (共9层)                                                                      | 1999年建 |                                3室1厅 | 96.6平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_TuuSrvFXI_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,天河公园,天河公园优选精装温馨三房 户型方正带自家露台,740万,低楼层                                    (共25层)                                                                      | 2004年建 |                                3室2厅 | 102.95平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_zMSbGvmTa_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,天河公园,此房子满五唯一，没有按揭，新装修。,1068万,低楼层                                    (共30层)                                                                      | 2011年建 |                                2室1厅 | 88.25平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_jajRWpo3C_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
