20210128,天河,粤垦,金燕花园 大三房 采光通风好 过五年唯一必看好房,302万,中楼层                                    (共9层)                                                                      | 1999年建 |                                3室1厅 | 99.77平米                                  | 西南,http://ke-image.ljcdn.com/440100-inspection/pc1_XHUto9SKP.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,粤垦,绿佳花园 总价低 电梯两房 南北通透 中楼层 采光好必看好房,220万,中楼层                                    (共9层)                                                                      | 1995年建 |                                2室2厅 | 66.45平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/d1aaa88d-10cd-4e2e-83e4-b30fd5b01aff_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,粤垦,燕塘地铁站房厅出阳台标准2房楼层好,253万,中楼层                                    (共6层)                                                                      | 1998年建 |                                2室1厅 | 75.83平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/90fa1809-08e6-48ca-9874-135d131a75ac_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,粤垦,东莞庄路 高胜花园两房 业主诚意出售 总价低适合居住,150万,中楼层                                    (共9层)                                                                      | 2000年建 |                                2室1厅 | 46.01平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/88f6734a-c432-4167-8efd-29c33312d8b0_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,粤垦,富力院士庭 2室1厅 精装修 中层望花园 安静舒服,520万,低楼层                                    (共26层)                                                                      | 2007年建 |                                2室1厅 | 76.2平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/514dcd79-e8ce-4127-8bd3-aa0a27399ad0_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,粤垦,广工教师村 环境舒适 价格实惠电梯好楼层两房,435万,高楼层                                    (共16层)                                                                      | 2001年建 |                                2室2厅 | 80.49平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_qIIDT6c58_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,粤垦,鸿燕居  电梯两房  满五唯一 厅出阳台 近地铁 装修好,265万,中楼层                                    (共11层)                                                                      | 2003年建 |                                2室1厅 | 73.71平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_M5CW5q81l_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,粤垦,满五唯一，业主自住保养好，楼层佳，业主诚心出售！,308万,中楼层                                    (共9层)                                                                      | 1999年建 |                                2室2厅 | 88.9平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_7uzDU6V1t_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,粤垦,嘉逸花园两房一厅出售，格局方正,170万,低楼层                                    (共10层)                                                                      | 1995年建 |                                2室1厅 | 47.49平米                                  | 东南 南,http://ke-image.ljcdn.com/110000-inspection/13df9d99-178c-4264-bc6e-1db085156d96_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,粤垦,九洲海誉居小3房随时看房高层户型小区好必看好房,730万,中楼层                                    (共34层)                                                                      | 2016年建 |                                3室2厅 | 93.95平米                                  | 东北,http://ke-image.ljcdn.com/440100-inspection/prod-6907cc21-9e26-40b3-b53f-5166c0f71c2f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
