20210128,天河,珠江新城西,漾晴居 高楼层 品质小区 间隔方正 实用率高 近地铁必看好房,988万,高楼层                                    (共33层)                                                                      | 2001年建 |                                3室2厅 | 93.84平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_C8LzI8Qij_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,满五唯一 南向两房 格局方正实用 地理位置好 近双地铁必看好房,410万,低楼层                                    (共33层)                                                                      | 1997年建 |                                2室1厅 | 77.25平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_eIpWwAQL8_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,满五唯一 户型方正采光好 近地铁,510万,低楼层                                    (共33层)                                                                      | 1997年建 |                                2室1厅 | 87.09平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_nFrzJ0DnW_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,杨继东高层南两房 房屋通风采光好,277万,高楼层                                    (共9层)                                                                      | 1992年建 |                                2室1厅 | 55.94平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_y9zWBvjoP_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,远洋明珠，南向，格局方正，安静舒适，交通便利,860万,低楼层                                    (共25层)                                                                      | 1998年建 |                                3室2厅 | 118平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_OVFhfVPwL_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,广弘天琪 小面积 舒适 安静城市景,368万,低楼层                                    (共31层)                                                                      | 2005年建 |                                1室0厅 | 42.18平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_pSHNgh2xH_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,高层南向，景观视野开阔，采光好,292万,高楼层                                    (共30层)                                                                      | 2005年建 |                                1室0厅 | 43.11平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_OLboXbojJ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,珠江新城小户型住房出售 户型方正总价低新上,270万,高楼层                                    (共28层)                                                                      | 2003年建 |                                1室0厅 | 43.52平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_bwGl28Wib.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,利汇名悦大厦 户型方正 全新装修 高层视野好 诚心出售,630万,高楼层                                    (共31层)                                                                      | 2008年建 |                                1室1厅 | 56.93平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_wBmEgHChu_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,户型方正，透风采光好  交通便利,214万,中楼层                                    (共30层)                                                                      | 1998年建 |                                1室1厅 | 33平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_69eIhLgLC_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,铂林国际，舒适大单间，房出阳台，高楼层采光好,265万,高楼层                                    (共32层)                                                                      | 2005年建 |                                1室0厅 | 33.2平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_gaeE4iCYH_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,高楼层 两房 视野开阔景观好 保养干净必看好房,440万,中楼层                                    (共33层)                                                                      | 1997年建 |                                2室1厅 | 80.49平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_0yWBQNFEw_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,珠江新城酒店式管理住宅，交通便利,298万,高楼层                                    (共30层)                                                                      | 2005年建 |                                1室1厅 | 39.28平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_mL9sO1zaI_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,嘉裕礼顿阳光 中高楼层 精装修 采光充足新上,430万,中楼层                                    (共30层)                                                                      | 2005年建 |                                1室1厅 | 54.91平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_m2zT5ui5b_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,精装修物业管理优质封闭式管理。新上,420万,中楼层                                    (共31层)                                                                      | 2005年建 |                                1室0厅 | 41.14平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_5Gk1pHeUQ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,南向一房带阳台  可明火 高层看广州塔 采光视野好,367万,高楼层                                    (共29层)                                                                      | 1998年建 |                                1室0厅 | 48.8平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/d80cbff0-a067-451a-bce3-37854878040b_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,双城国际公寓 1室0厅 北,303万,中楼层                                    (共29层)                                                                      | 1998年建 |                                1室0厅 | 37.52平米                                  | 北,http://ke-image.ljcdn.com/440100-inspection/prod-368a5861-67b2-4666-bdb1-9fd8ba0de8cf.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,敞亮一房，通天然气，明厨，有阳台,335万,低楼层                                    (共29层)                                                                      | 1998年建 |                                1室0厅 | 45.43平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_JN5D7s20R_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,珠江新城西区靓三房   户型方正实用,1420万,中楼层                                    (共31层)                                                                      | 2009年建 |                                3室2厅 | 117平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_SzWnUJnnW_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,铂林国际公寓 1室0厅 西,270万,高楼层                                    (共32层)                                                                      | 2005年建 |                                1室0厅 | 33平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_hWvUEceIs_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,交通方便 户型方正 环境安静 采光好,568万,中楼层                                    (共32层)                                                                      | 2007年建 |                                2室2厅 | 125.85平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_fKV33ETVN_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,铂林东向一房，中低楼层，房屋保养干净,280万,低楼层                                    (共32层)                                                                      | 2005年建 |                                1室1厅 | 32.55平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/785fbd6e-2930-44a7-9704-12ff23b747c7_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,嘉裕礼顿阳光 高层南向 采光充足 配套完善 大落地窗,430万,高楼层                                    (共30层)                                                                      | 2005年建 |                                1室1厅 | 55.22平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_EKGyoBK6G_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,丽晶华庭高层两居室 采光明亮 装修保养新,600万,高楼层                                    (共30层)                                                                      | 1998年建 |                                2室2厅 | 78平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_4cyHnsmEZ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,嘉裕礼顿阳光 1室0厅 南,410万,高楼层                                    (共30层)                                                                      | 2005年建 |                                1室0厅 | 47.02平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_QUF7X3wfl_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,丽晶华庭  视野开阔 高层三房,1050万,高楼层                                    (共30层)                                                                      | 1998年建 |                                3室1厅 | 149.04平米                                  | 北,http://ke-image.ljcdn.com/440100-inspection/prod-b9687055-c188-4b82-a71c-b2e047261470.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,嘉裕礼顿阳光 一房一厅 精装修 北向高层视野好 保养好,485万,高楼层                                    (共30层)                                                                      | 2005年建 |                                1室1厅 | 55.14平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_HdT0WPdKv_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,嘉裕礼顿阳光 品质小区 CBD商务区 看房方便,310万,中楼层                                    (共30层)                                                                      | 2005年建 |                                1室0厅 | 43平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/a9bbe015-5392-4530-a251-afa33e499d46_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,双城国际公寓 1室1厅 北,280万,低楼层                                    (共29层)                                                                      | 1998年建 |                                1室1厅 | 37.08平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_jE3oRf49f_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,珠江新城 双城国际 单间业主诚意出售 看房方便,308万,低楼层                                    (共29层)                                                                      | 1998年建 |                                1室0厅 | 40平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/bb155ece-62a7-406c-8723-c3790b64fdff_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,广弘天琪 1室0厅 东,350万,低楼层                                    (共31层)                                                                      | 2005年建 |                                1室0厅 | 41.14平米                                  | 东,http://ke-image.ljcdn.com/440100-inspection/pc1_TvrzH8r7f_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,星汇国际 高层景观 住家保养好 上班族适合,275万,高楼层                                    (共28层)                                                                      | 2003年建 |                                1室1厅 | 45平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/43e0ce49-6a01-40bc-8e8c-1172b7d8b1e8_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,精致二房 看房方便 出行便利 房子保养好,460万,中楼层                                    (共33层)                                                                      | 1997年建 |                                2室2厅 | 77.25平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_cjeUbWBeD_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,嘉裕礼顿 南向中层  户型方正 生活方便  配套成全,293万,中楼层                                    (共30层)                                                                      | 2005年建 |                                1室0厅 | 43平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/01caa95b-9a1c-4a21-8885-49bb5bead3ab_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,嘉裕礼顿阳光单间北向中高楼层业主诚意放售,300万,中楼层                                    (共30层)                                                                      | 2005年建 |                                1室1厅 | 39.28平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_jL91c854k_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,佛奥广场 2室1厅 南,730万,高楼层                                    (共30层)                                                                      | 2013年建 |                                2室1厅 | 108.06平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_ZwAHxrxIc_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,园林住宅、轴心生活----都市中 心,1600万,低楼层                                    (共29层)                                                                      | 2004年建 |                                4室2厅 | 150.06平米                                  | 北 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_GWNLKZVf3_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,珠江新城西区 西南向三房 户型好总价低 业主诚心出售,480万,低楼层                                    (共30层)                                                                      | 2005年建 |                                3室1厅 | 129.43平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_1GBV4En6l_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,珠江新城   一房户型方正  南向采光通风好,430万,中楼层                                    (共30层)                                                                      | 2005年建 |                                1室1厅 | 55.22平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_2pBf8yXdl_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,富力盈力大厦 3室1厅 西南,500万,低楼层                                    (共30层)                                                                      | 2005年建 |                                3室1厅 | 129.51平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_yGNv2u0Pv_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,正南向大单间。装修保养好，业主诚意出售，过两年,290万,低楼层                                    (共29层)                                                                      | 1998年建 |                                1室0厅 | 40.27平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_pdliO2MOo_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,保利香槟花园 2室2厅 西南,1100万,低楼层                                    (共17层)                                                                      | 2004年建 |                                2室2厅 | 88平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_TQX0FgnUU_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
