20210126,宝安区,曦城,低总价，空置方便看房，已装修可直接入住,103万,高楼层                                    (共8层)                                                                      | 1999年建 |                                1室1厅 | 41.02平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_j3CaTQKKR_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,宝安区,曦城,业主诚心出售，满五唯一，税费少朝向好。,230万,高楼层                                    (共11层)                                                                      | 2006年建 |                                2室1厅 | 60.32平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_jn50jUfW9_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,宝安区,曦城,看房提前预约即可，业主着急卖想年前卖出,640万,高楼层                                    (共30层)                                                                      | 2018年建 |                                3室1厅 | 89平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_CsWafGnda_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,宝安区,曦城,恒丰工业城 1室0厅 北,80万,中楼层                                    (共11层)                                                                      | 2006年建 |                                1室0厅 | 28.55平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_ZL0bYFuVN_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,宝安区,曦城,大社区电梯两房交通便利居家舒适,200万,中楼层                                    (共11层)                                                                      | 2006年建 |                                2室1厅 | 59.19平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_IJx5JdCv8_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,宝安区,曦城,适合刚需客户，正规电梯房，住家装修可拎包！,138万,中楼层                                    (共8层)                                                                      | 2001年建 |                                1室1厅 | 42.13平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_IuwwqBukA_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,宝安区,曦城,大1房中高楼层，看房方便，价格可谈,115万,高楼层                                    (共8层)                                                                      | 1996年建 |                                1室1厅 | 44.67平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_Q8oBNvEfr_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,宝安区,曦城,房子满2年新入伙小区，封闭式管理，高楼层采光好,700万,高楼层                                    (共30层)                                                                      | 2018年建 |                                3室2厅 | 89.86平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_FORglzWrF_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,宝安区,曦城,房子满2年新入伙小区，封闭式管理，高楼层采光好新上,725万,高楼层                                    (共30层)                                                                      | 2018年建 |                                3室2厅 | 89.85平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_16tU6CPwg_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,宝安区,曦城,恒丰工业城 1室0厅 北,80万,中楼层                                    (共11层)                                                                      | 2006年建 |                                1室0厅 | 28.4平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_WaBlfYBSr_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
