20210126,大鹏新区,大鹏半岛,鹏海苑小区 1室1厅 南,138万,低楼层                                    (共6层)                                                                      | 2006年建 |                                1室1厅 | 48.58平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_UmxWdz4oR_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,此房满五，全新毛坯两房两厅，西南朝向，阳光充足，必看好房,300万,低楼层                                    (共33层)                                                                      | 2016年建 |                                2室2厅 | 61.7平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_UPs7zwywZ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,大鹏海景山景房  小户型总价低,95万,高楼层                                    (共12层)                                                                      | 2015年建 |                                1室1厅 | 36.35平米                                  | 南 北,http://ke-image.ljcdn.com/440300-inspection/prod-2417672b-e75d-46da-a980-3d6883916100.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,金众云山栖 4室1厅 西北,450万,中楼层                                    (共33层)                                                                      | 2016年建 |                                4室1厅 | 87.41平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_Jh5ZUP6Tp_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,满五年，大社区，环境优美，住家舒适,300万,低楼层                                    (共17层)                                                                      | 2009年建 |                                2室2厅 | 78.71平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_sPJgXPrh5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,满五年，成熟小区，环境优美，居住舒适,300万,低楼层                                    (共17层)                                                                      | 2009年建 |                                2室2厅 | 78.7平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_ciLTQQhNE_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,已满五年 64平标准的的三房 精装修,350万,低楼层                                    (共33层)                                                                      | 2016年建 |                                3室2厅 | 64.7平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_zY9Veqc1W_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,户型方正 采光充足 视野好，小区景观好,海景,360万,低楼层                                    (共16层)                                                                      | 2015年建 |                                3室1厅 | 104.68平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_VOryguEkZ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,大社区，低密度，难得的大户型，毛坯,445万,高楼层                                    (共18层)                                                                      | 2009年建 |                                4室2厅 | 124.47平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_nA9gS7S7Q_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,大鹏精装3房 业主诚心出售 看房方便,403万,中楼层                                    (共33层)                                                                      | 2016年建 |                                3室2厅 | 86.03平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_7NrY2GCdo_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,金众云山栖 朝南三房 满五年 红本在手 毛坯房,360万,低楼层                                    (共33层)                                                                      | 2016年建 |                                3室2厅 | 82.37平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_2KrrrnTqL_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
