20210126,福田区,梅林,房子满五唯一，精装修，地铁口物业，宜居，采光好。必看好房,248万,中楼层                                    (共7层)                                                                      | 1998年建 |                                1室1厅 | 35.14平米                                  | 东南 东,http://ke-image.ljcdn.com/110000-inspection/pc1_0kSwver7Z_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,高楼层，三房两卫，使用率高。看山景，不吵，满五唯一必看好房,815万,中楼层                                    (共34层)                                                                      | 2008年建 |                                3室2厅 | 89.31平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_czIveJ1cW_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,地铁口公园旁  满五精装小两居必看好房,550万,低楼层                                    (共8层)                                                                      | 1999年建 |                                2室1厅 | 66.37平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/21e8b8dc-9067-4274-97f9-36c4c60f607f_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,福田梅林艺丰花园A 区  正规三房 红本在手  看房方便必看好房,575万,低楼层                                    (共6层)                                                                      | 1999年建 |                                3室2厅 | 81.34平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_VLyk1WKLh_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,精装两房，旁边的改造多，生活配套齐全业主诚心出售,315万,低楼层                                    (共16层)                                                                      | 2008年建 |                                2室1厅 | 35.28平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/448c247a-7422-4f12-be67-d2e73a8759e4_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,此房红本在手满五唯一，户型方正采光好。视野宽阔,614万,中楼层                                    (共8层)                                                                      | 1997年建 |                                3室1厅 | 80.38平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_m3KpA7S6J_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,蓝天绿都家园 1室1厅 东 西南必看好房,269万,低楼层                                    (共15层)                                                                      | 2003年建 |                                1室1厅 | 31.51平米                                  | 东 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_dCWo8ABDV_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,先科花园 1室1厅 南必看好房,350万,中楼层                                    (共7层)                                                                      | 1996年建 |                                1室1厅 | 48.78平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_VZJyBOhyc_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,满五唯一   红本在手    高楼层    视野很好必看好房,748万,高楼层                                    (共31层)                                                                      | 2008年建 |                                2室2厅 | 75.63平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/f02a0a53-4be4-4495-9ad6-4dcc7577560f_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,此房产权清晰，满五唯一没个税，自住精装修，诚卖！必看好房,800万,中楼层                                    (共8层)                                                                      | 2008年建 |                                3室1厅 | 94.6平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_pOK5xob1H.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,碧荔花园满五唯一大三房业主诚心出售必看好房,810万,低楼层                                    (共9层)                                                                      | 1997年建 |                                3室2厅 | 102.97平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_g08kb4UP5_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,华茂苑小三房，业主诚心出售，税费少必看好房,635万,高楼层                                    (共8层)                                                                      | 1996年建 |                                3室1厅 | 78.68平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/0c9e9d9a-61c8-4d46-887c-31d785bf01d6_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,梅林一村全南向方正大三房，层高视野佳，满五唯壹诚售必看好房,859万,高楼层                                    (共18层)                                                                      | 2003年建 |                                3室2厅 | 98.29平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_xrYjM9SVH_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,华府05年小区小两房 满五唯一 税费少必看好房,580万,低楼层                                    (共11层)                                                                      | 2005年建 |                                2室1厅 | 55.15平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_j7dQoFBYs_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
