20210126,福田区,上下沙,高楼层正规电梯两房，使用率高，采光棒必看好房,498万,高楼层                                    (共9层)                                                                      | 2003年建 |                                2室1厅 | 54.04平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/453b7da7-1aad-408b-a690-d15b314ea9d5_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,新装修南向双阳台阳光房，活跃小区，难得景观佳小户型必看好房,445万,高楼层                                    (共32层)                                                                      | 2005年建 |                                1室1厅 | 39.8平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_KrE0hWzvQ.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,大金沙红树家邻低总价两房 业主诚心出售必看好房,370万,低楼层                                    (共9层)                                                                      | 2003年建 |                                2室1厅 | 40.48平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/16073d06-262c-41be-b45f-7ecf9009bbc1_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,碧海红树园花园大社区方正明亮三房,860万,中楼层                                    (共32层)                                                                      | 2004年建 |                                3室2厅 | 85.5平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/062346c0-848c-46b6-b644-059a149e86f8_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,方正大阳台，西南看海景，满五税费少必看好房,1380万,中楼层                                    (共33层)                                                                      | 2003年建 |                                3室1厅 | 103.21平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/1852a90c-5ad2-4973-9d80-506ad9567e0d_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,刚需房源，地铁口，红树林生态绿化好必看好房,365万,低楼层                                    (共9层)                                                                      | 2003年建 |                                1室1厅 | 40.48平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/688c213d-81bc-4a18-8ffa-6daf0549810d_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,花好园朝南一房，业主诚售！！！必看好房,450万,中楼层                                    (共28层)                                                                      | 2005年建 |                                1室1厅 | 39.81平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/90db1aae-83bf-458b-9938-1e299f9756d6_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,要结婚了买房装修这里可以一步到位,650万,低楼层                                    (共28层)                                                                      | 2005年建 |                                2室1厅 | 59.11平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/4e42c0cd-ff7f-4797-86af-eb83735fd9f8_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,温馨小一房您居家的选择采光好，2021.3.24满五唯一,370万,高楼层                                    (共9层)                                                                      | 2003年建 |                                1室1厅 | 37.94平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/8b58b9f0-1150-49e4-a24f-7a6c9403e7e8_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,西南看海中间楼大4四房，中西大厨房红本在手。,2498万,中楼层                                    (共45层)                                                                      | 2014年建 |                                4室1厅 | 245.32平米                                  | 东南 西北,http://ke-image.ljcdn.com/110000-inspection/fe2ce30d-942c-40e8-8de7-16cda5b71a78_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,高层方正看花园四房，满五唯一免个税,1338万,高楼层                                    (共32层)                                                                      | 2004年建 |                                4室2厅 | 133.81平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_6H1vAKn3v_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,方正一房一厅，税费低，双阳台，业主诚心出售必看好房,415万,中楼层                                    (共28层)                                                                      | 2005年建 |                                1室1厅 | 39.04平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_ZELaAwLA0_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,下沙地铁口刚需盘，满五唯一税费少,450万,低楼层                                    (共32层)                                                                      | 2005年建 |                                1室1厅 | 39.8平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/7f7b9eb3-d7ec-4f9c-b028-fee7dce90bae_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,南向高楼层 满五唯一 客厅出阳台 业主诚心出售 好户型,730万,高楼层                                    (共28层)                                                                      | 2005年建 |                                2室1厅 | 65.3平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/e59a4bb0-a794-4be4-a93f-25c5910b7671_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,满五 税费低；户型方正实用，得房率很高,520万,中楼层                                    (共9层)                                                                      | 2003年建 |                                2室1厅 | 46.94平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_9Mv49lxaV_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,高楼层方正，双阳台，业主诚心出售,420万,高楼层                                    (共28层)                                                                      | 2005年建 |                                1室1厅 | 39.04平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/ca96061b-fb3f-4204-8858-ff13bf6bde69_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,朝南一房一厅，看花园安静，车公庙低总价住宅,435万,低楼层                                    (共28层)                                                                      | 2005年建 |                                1室1厅 | 40.52平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/3bd62982-4464-4a32-9ed8-0fcfd43bc6ce_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,户型方正实用，厅出阳台，双阳台。税费低，业主诚心。,700万,高楼层                                    (共32层)                                                                      | 2005年建 |                                2室1厅 | 61.25平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_9Nn26xzSg_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,户型很方正，使用率高，业主诚信出售,450万,中楼层                                    (共28层)                                                                      | 2005年建 |                                1室1厅 | 41.93平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/fa6cc514-4d1b-4c09-96fe-530d731f2d72_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,满五唯一好房，只要契税，车公庙70年住宅,450万,低楼层                                    (共29层)                                                                      | 2005年建 |                                1室1厅 | 39.43平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/2877a3d6-84e2-4c4c-8770-b8ec03acba88_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,地铁口物业，精装修，满五年，业主诚心卖,305万,低楼层                                    (共28层)                                                                      | 2005年建 |                                1室0厅 | 31.22平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/2ad5b2cb-1d7b-441a-b666-6fd8fad5c599_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,下沙地铁口上盖精装一居，买来即可拎包入住必看好房,410万,中楼层                                    (共32层)                                                                      | 2005年建 |                                1室1厅 | 40.85平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/82d4cc2c-fde1-4ff2-bf9b-e8b891bf47f6_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,15年次新房，地铁口物业 车位充足 配套齐全  安静,510万,高楼层                                    (共30层)                                                                      | 2014年建 |                                2室1厅 | 66.75平米                                  | 东北,http://ke-image.ljcdn.com/440300-inspection/5f34f0cc-109a-411b-976d-003d4838c670_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,少有的安静两房客厅出阳台，诚心售，必看好房,490万,中楼层                                    (共9层)                                                                      | 2003年建 |                                2室2厅 | 53.42平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/f280d9ec-8287-4f3f-b1ec-55fa5b4d6d69_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,金地花园 3室2厅 西北,800万,高楼层                                    (共8层)                                                                      | 1995年建 |                                3室2厅 | 105.83平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/8e222114-73b4-4f74-a609-1f6ae7926745_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,下沙花好园优质一房一厅，朝南居家好选择,436万,中楼层                                    (共28层)                                                                      | 2005年建 |                                1室1厅 | 38.97平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/78469655-e8b3-402a-99ae-05fc1668459e_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
