20210126,龙岗区,布吉关,地铁口总价低朝南两房，采光通风好.必看好房,275万,低楼层                                    (共29层)                                                                      | 1998年建 |                                2室1厅 | 54.11平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_2OEZgN0DC_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,布吉关,电梯三房，看房有钥匙，高层无遮挡,410万,中楼层                                    (共32层)                                                                      | 2005年建 |                                3室2厅 | 102.75平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_Y5rF24NlU.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,布吉关,满五年唯一，高层，业主换房急售必看好房,235万,高楼层                                    (共30层)                                                                      | 1997年建 |                                2室1厅 | 52.75平米                                  | 西南 西,http://ke-image.ljcdn.com/110000-inspection/pc1_ENAXPrs9W_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,布吉关,全新装修，价格便宜，业主诚心出售,242万,低楼层                                    (共30层)                                                                      | 1997年建 |                                2室1厅 | 52.75平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_ntK0L4eD0_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,布吉关,满五年   税费少，自住看房方便必看好房,268万,中楼层                                    (共35层)                                                                      | 2002年建 |                                2室1厅 | 50.02平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_7FJsEkQ8b_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,布吉关,精装大2房，满五唯一红本，双卧跟客厅朝南看花园必看好房,472万,低楼层                                    (共22层)                                                                      | 2008年建 |                                2室1厅 | 77.39平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_U6RqIWlZv_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,布吉关,百合星城一期 2室1厅 北必看好房,315万,低楼层                                    (共30层)                                                                      | 2003年建 |                                2室1厅 | 62.08平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_xTPox0DB2_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,布吉关,包增值税，三地铁口精装两房，业主自住保养好,300万,中楼层                                    (共30层)                                                                      | 1997年建 |                                2室1厅 | 60.4平米                                  | 北,http://ke-image.ljcdn.com/440300-inspection/prod-da5f89a7-8947-4bfb-815d-db77d5bafbf4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,布吉关,百合星城一期 3室2厅 北必看好房,430万,中楼层                                    (共32层)                                                                      | 2005年建 |                                3室2厅 | 102.75平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_yug8T3KU2_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,布吉关,地铁口物业，精装两房，满五年唯一业主诚售.必看好房,350万,低楼层                                    (共28层)                                                                      | 2007年建 |                                2室1厅 | 54.25平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_p491QkT2j_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,布吉关,总价低   户型好   业主诚心出售必看好房,220万,中楼层                                    (共28层)                                                                      | 2007年建 |                                1室1厅 | 38.12平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_2GR06fQgr_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,布吉关,急售白鸽笼地铁口可园2房 沃尔玛 万象汇旁,428万,中楼层                                    (共22层)                                                                      | 2005年建 |                                2室2厅 | 73.16平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_TEeEqE4RG_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,布吉关,金御半山三期 次新房保养好 户型方正 近地铁必看好房,780万,低楼层                                    (共39层)                                                                      | 2017年建 |                                4室2厅 | 88.97平米                                  | 东 西,http://ke-image.ljcdn.com/110000-inspection/pc1_W2SUH1k0K_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,布吉关,房子满五。户型方正，楼层采光好。精装修。必看好房,250万,中楼层                                    (共23层)                                                                      | 2000年建 |                                2室1厅 | 48.15平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_CLuWwW95X_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,布吉关,近地铁口（3、5、14号线）此房满五唯一 税费少,225万,低楼层                                    (共28层)                                                                      | 2007年建 |                                1室1厅 | 38.8平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_bUWUWQpd0_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
