20210126,龙岗区,龙岗双龙,二加一房，中间楼层，厅出阳台，西南向必看好房,280万,中楼层                                    (共30层)                                                                      | 2015年建 |                                3室1厅 | 81.03平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_PabITpctO_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,满五唯一 红本在手3+1房居家舒适 阳光充足看花园必看好房,348万,低楼层                                    (共28层)                                                                      | 2008年建 |                                3室1厅 | 86.91平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_g66upmRqh_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,满五唯一，红本在手，高楼层视野好，看花园，没遮挡，必看好房,128万,高楼层                                    (共23层)                                                                      | 2011年建 |                                1室1厅 | 32.27平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_OY6Wy8jkb_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,3、21号线双地铁口 优质业主换房诚心出售必看好房,175万,低楼层                                    (共6层)                                                                      | 2006年建 |                                2室1厅 | 51.1平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_NgO59lWOZ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,业主诚心出售，通风采光好,精装修大三房。,330万,中楼层                                    (共6层)                                                                      | 2001年建 |                                3室2厅 | 119.23平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_A3I4qiVto_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,鸿景春天 3室2厅 南,300万,高楼层                                    (共6层)                                                                      | 2004年建 |                                3室2厅 | 102.48平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_MQJa0fuD3_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,满五唯一 红本在手 中间楼层精装2房必看好房,300万,中楼层                                    (共27层)                                                                      | 2011年建 |                                2室2厅 | 71.87平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_ar4bsO005_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,满五唯--红本在手,近地铁,大阳台，红本在手，景观好！必看好房,343万,高楼层                                    (共11层)                                                                      | 2008年建 |                                3室2厅 | 80.25平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_jC2h4X2lS_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,中间楼层标准2+1 朝南阳光充足通透舒适看花园必看好房,290万,低楼层                                    (共30层)                                                                      | 2015年建 |                                2室2厅 | 78.35平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_p5tOi3uy0_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,精装修，业主自己住，楼层好，通风采光好,330万,中楼层                                    (共26层)                                                                      | 2011年建 |                                2室1厅 | 74.5平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_FPezdPz1u_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,满五唯一税费少，带精装修，业主换房诚心出售,283万,中楼层                                    (共16层)                                                                      | 2005年建 |                                2室2厅 | 74.81平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_A344YNPhC_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,摩尔城 精装大4房 满5年唯一物业 红本在手 看房方便,550万,高楼层                                    (共31层)                                                                      | 2010年建 |                                4室1厅 | 144.53平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_ITYCHBOoJ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,锦城星苑朝东大两房，厅出阳台，看房方便,255万,高楼层                                    (共9层)                                                                      | 2006年建 |                                2室1厅 | 73.34平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_YpbGjngfS_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,此房满五唯一税费少，中高楼层朝南采光通风好。必看好房,320万,中楼层                                    (共32层)                                                                      | 2014年建 |                                2室1厅 | 79.18平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_WWWzakqVX_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,满五唯一，红本在手，花园中间楼层好，大阳台看花园，,698万,高楼层                                    (共32层)                                                                      | 2016年建 |                                5室1厅 | 175.07平米                                  | 东南 南,http://ke-image.ljcdn.com/110000-inspection/pc1_8X3pXZQaw_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,满五唯一税费少，装修保养好南北通，视野宽阔必看好房,365万,中楼层                                    (共15层)                                                                      | 2007年建 |                                4室1厅 | 85.7平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_GGvadMPfI_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,水岸新都两房 大阳台 朝南看花园 户型方正 满五红本必看好房,288万,高楼层                                    (共25层)                                                                      | 2007年建 |                                2室1厅 | 77.72平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-ea2d22c8-3caf-4389-a64f-d551dd1fd685.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,房子满五年 税费少  地铁口物业  楼层好  采光好,450万,高楼层                                    (共33层)                                                                      | 2016年建 |                                3室2厅 | 89.53平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_Xapz4zLeS_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,满五唯一，欠款少，无遮挡。带45平大阳台,360万,低楼层                                    (共6层)                                                                      | 2006年建 |                                3室2厅 | 85平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_ybJACzO3K_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,地铁口 大两房 满五年 精装修 户型正 朝向好必看好房,338万,高楼层                                    (共31层)                                                                      | 2010年建 |                                2室1厅 | 82.49平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_psXTgjhqc_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,地铁口 厅出阳台 公园脚下 天然氧吧必看好房,320万,低楼层                                    (共26层)                                                                      | 2011年建 |                                2室1厅 | 74.34平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_AbfD3KPAg_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,精装标准2房，朝南看花园，视野好，业主诚心出售,340万,低楼层                                    (共43层)                                                                      | 2017年建 |                                2室1厅 | 69.12平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_lacSN1j6j_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,精装经典大两房 朝南看花园安静 视野超好 户型方正,288万,低楼层                                    (共28层)                                                                      | 2008年建 |                                2室2厅 | 77.55平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_3xQvE7tmR_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,地铁口物业 精装三房 商圈成熟 大社区,380万,中楼层                                    (共29层)                                                                      | 2015年建 |                                3室1厅 | 70.63平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/pc1_F5bmTn9Qe_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,房子满五唯一 户型方正 视野好,350万,低楼层                                    (共30层)                                                                      | 2014年建 |                                2室1厅 | 81.13平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_l8oObYB6s_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,舒适洋房，南北通透，通风采光佳,425万,高楼层                                    (共6层)                                                                      | 2006年建 |                                3室2厅 | 109.75平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_bSBhvPlZ0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,业主诚心出售 看房提前约就好  精装修业主自住,400万,中楼层                                    (共31层)                                                                  3室2厅 | 88.03平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_kObbSa36X_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,房子满五，业主诚心出售，中间楼层，朝南采光好,450万,中楼层                                    (共26层)                                                                      | 2011年建 |                                3室1厅 | 87.76平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_2fTbNJ2u1_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,东方瑞景苑 2室2厅 西南,325万,中楼层                                    (共27层)                                                                      | 2011年建 |                                2室2厅 | 71.87平米                                  | 西南,http://ke-image.ljcdn.com/440300-inspection/prod-f1726ae8-b802-49f6-8e30-4dbd92c609d5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,海航城标准一房一厅在卖 地铁口 次新小区,255万,高楼层                                    (共29层)                                                                      | 2016年建 |                                1室1厅 | 50.08平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_sXespI38y_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,水岸新都小户型 改好两房 业主诚心出售,235万,低楼层                                    (共28层)                                                                      | 2008年建 |                                2室1厅 | 59.56平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_Om8Al89YI_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,此房满五唯一，少量欠款。业主自住，保养很不错。,138万,高楼层                                    (共23层)                                                                      | 2011年建 |                                1室1厅 | 37.42平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_LENz4WRRA_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,此房满五户型方正，3房2卫，居家装修 ，视野开阔，,358万,高楼层                                    (共10层)                                                                      | 2006年建 |                                3室2厅 | 108.46平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_9Q3FOBJEz_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
