20210126,龙华区,石岩,石岩宏发精装修通风好三房拎包入住无浪费,575万,低楼层                                    (共32层)                                                                      | 2016年建 |                                3室1厅 | 87.94平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_mEc8MVjc1_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙华区,石岩,方正四房无浪费空间诚意出售，通风好，视野不错,750万,中楼层                                    (共32层)                                                                      | 2016年建 |                                4室2厅 | 106.35平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_23zTai9Cc_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙华区,石岩,自住装修保持很好可以拎包入住出行方便,655万,中楼层                                    (共32层)                                                                      | 2016年建 |                                3室2厅 | 89.07平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/5bbd1a7a-7046-457e-9758-4fdd7df3e521_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙华区,石岩,生活配套成熟，精装3房未入住。得房率高。户型,670万,中楼层                                    (共32层)                                                                      | 2016年建 |                                3室1厅 | 88.05平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_VfxyU2hky_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙华区,石岩,东南朝向好房源，通风采光不影响必看好房,518万,高楼层                                    (共30层)                                                                      | 2016年建 |                                3室1厅 | 78.86平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_NLCxvO7Du_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙华区,石岩,精准两房，采光通透，视野广阔，业主诚心出售,480万,高楼层                                    (共16层)                                                                      | 2006年建 |                                2室2厅 | 82.18平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_k9FySV4zG_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙华区,石岩,毛坯房原始户型，有钥匙随时可看房，满了两年诚心出售,600万,高楼层                                    (共32层)                                                                      | 2016年建 |                                3室2厅 | 88.16平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/88c39452-7be8-4c20-ba86-3fefde776901_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙华区,石岩,宝安宏发世纪城一期76平精装3房业主急售 通燃气带阳台,350万,低楼层                                    (共24层)                                                                      | 2015年建 |                                3室2厅 | 76.75平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_WqF7UDF78_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙华区,石岩,满五唯一，税费低，性价优，急售套现。,315万,高楼层                                    (共24层)                                                                      | 2015年建 |                                3室1厅 | 76.74平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_cRw4ohOi4_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙华区,石岩,宏发世纪城 精装三房 公寓产权 看房方便,302万,高楼层                                    (共24层)                                                                      | 2015年建 |                                3室2厅 | 76.74平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_K5oGi2FSE_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙华区,石岩,农艺大厦 4室2厅 南 北新上,498万,高楼层                                    (共4层)                                                                  4室2厅 | 109.3平米                                  | 南 北,http://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=202101261829353
20210126,龙华区,石岩,石岩不限售精装修即买即收租层高四米五70年产权,219万,低楼层                                    (共31层)                                                                  1室1厅 | 42.02平米                                  | 南,http://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=202101261829353
20210126,龙华区,石岩,宏发世纪城 精装修三房 业主诚心出售,610万,中楼层                                    (共32层)                                                                      | 2016年建 |                                3室2厅 | 87.94平米                                  | 东南,http://ke-image.ljcdn.com/hdic-frame/c71f3c07-d065-46e4-b352-9a719cfd1a47.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙华区,石岩,精装三房，视野广阔，采光通透，诚信出售,529.5万,中楼层                                    (共30层)                                                                      | 2016年建 |                                3室2厅 | 78.86平米                                  | 东南 南,http://ke-image.ljcdn.com/hdic-frame/579b7625-f64e-4791-9b2e-059809a54c4f.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙华区,石岩,石岩宏发世纪城4房，带装修，业主诚心出售,600万,低楼层                                    (共30层)                                                                      | 2016年建 |                                4室2厅 | 87.75平米                                  | 东南,http://ke-image.ljcdn.com/hdic-frame/579b7625-f64e-4791-9b2e-059809a54c4f.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙华区,石岩,汇邦名都花园 4室2厅 东南,400万,低楼层                                    (共31层)                                                                  4室2厅 | 79.3平米                                  | 东南,http://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=202101261829353
