20210126,罗湖区,布心,次新小区靠山安静，电梯小高层低密度，户型好精装修.,330万,中楼层                                    (共12层)                                                                      | 2015年建 |                                2室1厅 | 48.35平米                                  | 东南 南,http://ke-image.ljcdn.com/110000-inspection/pc1_RwYH1RFGt_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五年唯一，客厅出阳台，精装保养好,525万,高楼层                                    (共7层)                                                                      | 1995年建 |                                3室1厅 | 80.7平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_zS4vdMzo6_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,红本在手 小高层 费用少 安静 住家优选,313万,中楼层                                    (共7层)                                                                      | 2001年建 |                                1室1厅 | 44.76平米                                  | 西北 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_Y1DrwR8fD_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,房子满五 自己住 业主诚心卖 看房很方便新上,400万,中楼层                                    (共23层)                                                                      | 2008年建 |                                2室2厅 | 51.33平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_bNqUdo69E_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,翡翠园 2室1厅 东南,285万,低楼层                                    (共8层)                                                                      | 2000年建 |                                2室1厅 | 41.37平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_3I2vhRi5O_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,淘金山一期 3室1厅 南,1080万,低楼层                                    (共32层)                                                                      | 2006年建 |                                3室1厅 | 158.4平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-af725086-f91f-4931-9c35-d897d24aad78.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五年！红本！新装修，光照充足，安静看园景山景。,530万,中楼层                                    (共34层)                                                                      | 2003年建 |                                2室1厅 | 66.18平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_j7iWy4dTN_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,鸿翠苑大两房 双阳台，业主包增值税，诚心卖方便看房,475万,中楼层                                    (共33层)                                                                      | 2009年建 |                                2室1厅 | 75.26平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_kzl2JnIsx_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,房子满五唯一，红本在手，税费少，户型方正,680万,低楼层                                    (共7层)                                                                      | 1998年建 |                                2室1厅 | 73.05平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_BoDWeFlpp_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,地铁口 2019年的婚房装修  满五年  电梯南向  大四房,565万,中楼层                                    (共31层)                                                                      | 2002年建 |                                4室1厅 | 100.45平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_p5d4O8heQ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五唯一翠怡苑优质一房........,165万,低楼层                                    (共8层)                                                                      | 2001年建 |                                1室0厅 | 31.13平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_PlVYUHIba.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五唯一，朝南两房，小区中间位置,420万,中楼层                                    (共7层)                                                                      | 1995年建 |                                2室2厅 | 71.9平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/test-e232f2ec-e9b9-4455-aca3-533311add54e.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,半山物业一线山景住宅 人车分流  正南向 物业管理好,613万,低楼层                                    (共34层)                                                                      | 2003年建 |                                2室1厅 | 73.81平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/pc1_UjvxgI23G_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
