20210126,罗湖区,春风路,凯悦华庭方正户型西南向住家理想型必看好房,448万,高楼层                                    (共29层)                                                                      | 2002年建 |                                3室1厅 | 71.32平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/6d5de99f-1991-4fdf-b6ff-f2153db3c584_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,春风路,阳光新干线70平大两房，端头位，一层一套必看好房,430万,中楼层                                    (共33层)                                                                      | 2005年建 |                                2室1厅 | 70平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/d9e8bb0e-ce05-428b-93b5-ae7520eb55df_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,春风路,此房产权满五年、自己赎楼，业主诚心出售必看好房,259万,低楼层                                    (共33层)                                                                      | 2005年建 |                                1室1厅 | 38.72平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/ef620bd3-9d0e-426e-975e-dde7a01f7848_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,春风路,满五年，红本，带 空中花园，精装修，户型方正.,325万,中楼层                                    (共33层)                                                                      | 2005年建 |                                1室1厅 | 43.25平米                                  | 北,http://ke-image.ljcdn.com/440300-inspection/prod-cd4152e8-9f48-4bce-a07d-3a4906a0782f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,春风路,银座金钻 2室1厅 西南必看好房,308万,低楼层                                    (共30层)                                                                      | 2003年建 |                                2室1厅 | 55.47平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_5BIlsUD9x_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,春风路,此房业主诚卖，看房方便，户型方正,109万,低楼层                                    (共31层)                                                                      | 2004年建 |                                1室0厅 | 22.98平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/7d200a1d-384c-4204-ad97-34a8e04b8989_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,春风路,阳光新干线家园，品质一房， 满五年，业主诚心卖必看好房,230万,中楼层                                    (共33层)                                                                      | 2005年建 |                                1室1厅 | 39.19平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_rpKjmH7Qt_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,春风路,金城大厦 3室1厅 东必看好房,320万,低楼层                                    (共23层)                                                                      | 1984年建 |                                3室1厅 | 46.37平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/a6b5c17d-426d-4b53-b055-23bc7462f0b5_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,春风路,置地逸轩 1室0厅 东南必看好房,210万,高楼层                                    (共33层)                                                                      | 2005年建 |                                1室0厅 | 27.67平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/bef24078-d727-4016-b6e6-165ea90cad71_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,春风路,满五年 红本在手 层高3.8米，看房方便,515万,高楼层                                    (共25层)                                                                      | 2004年建 |                                2室1厅 | 67.63平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_PSWO7dgXx_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
