20210128,福田区,新洲,福田新洲7号线沙尾地铁口两房出售必看好房,600万,高楼层                                    (共32层)                                                                      | 2007年建 |                                2室2厅 | 73.42平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/446a2f5f-1c91-4e43-afab-84322363ffb6_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,福田体育公园旁，精装小户型，厅出阳台必看好房,390万,中楼层                                    (共29层)                                                                      | 2005年建 |                                1室1厅 | 40.96平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/9aa6c2a3-c783-421c-90de-aae9301686a3_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,地势极而南溟深，天柱高而北辰远必看好房,690万,中楼层                                    (共29层)                                                                      | 2005年建 |                                2室1厅 | 67.52平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/6442dbf2-a4a9-400b-8512-18e8bc55bd65_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,满五唯一，精装修厅出阳台，高楼层，格局分明,700万,高楼层                                    (共33层)                                                                      | 2000年建 |                                3室1厅 | 83.56平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_XSI85d1TI_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,满五唯一税费少，户型方正，朝南低楼层。,688万,中楼层                                    (共8层)                                                                      | 1996年建 |                                3室2厅 | 80.85平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/9c9a4f35-59e9-4ee6-ae48-629de7c1487f_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,优质房源！错过就没有了，还在犹豫吗？？？必看好房,1220万,中楼层                                    (共33层)                                                                      | 2005年建 |                                3室2厅 | 112.72平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/54bc0492-13b8-4a7f-bc63-df98a03ac727_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,品牌物业，满五年红本在手，朝南向安静，阳光充足,788万,低楼层                                    (共33层)                                                                      | 2000年建 |                                3室1厅 | 95.88平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/48975edd-9212-4cd8-ada5-adeb6f519606_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,韵动家园.高层看高尔夫 视野好 地铁口物业,685万,高楼层                                    (共29层)                                                                      | 2005年建 |                                2室1厅 | 83.25平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/0dddeb9f-463e-4f2a-8710-93d301962131_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,新洲花园 3室1厅 南,658万,高楼层                                    (共8层)                                                                      | 1993年建 |                                3室1厅 | 75.91平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/ddc8ec18-7de8-434b-adea-a4d74eeab8ec_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,自住新装修大三房，全高尔夫景观，三房两卫,900万,高楼层                                    (共29层)                                                                      | 2005年建 |                                3室2厅 | 106.39平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/6fc7acc1-21cf-498f-acc5-1769be8293a0_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,绿景物业，刚需两房，红本满五唯一朝南看海，新装修,850万,高楼层                                    (共32层)                                                                      | 2008年建 |                                2室1厅 | 66.92平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/77b19821-aace-486b-92ee-f5a905a70fc4_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,满五唯一，少欠款，高楼层视野无遮挡，业主诚心卖。,660万,中楼层                                    (共30层)                                                                      | 2006年建 |                                2室1厅 | 66.26平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/9c8e8b93-2a52-485a-a39d-3673259190e6_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,高层看花园安静，户型方正，装修保养好,435万,中楼层                                    (共32层)                                                                      | 2007年建 |                                1室1厅 | 50.02平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/c9a26647-5f89-430d-83f9-f3fb43b42923_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,花园大社区实用3房，装修保养好，业主诚心出售,940万,低楼层                                    (共33层)                                                                      | 2005年建 |                                3室2厅 | 92.99平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_CHWukGtWD_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,新美域大四房 满五唯一 红本 地铁口 朝南,1380万,中楼层                                    (共33层)                                                                      | 2005年建 |                                4室1厅 | 134.06平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/cbf9bdf7-357a-4af7-a4d2-e095c84061f9_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,此房满五不唯一，高层海景三房。业主诚心出售。,745万,中楼层                                    (共29层)                                                                      | 2005年建 |                                3室2厅 | 87.91平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/d3221e59-2227-4270-8421-ddecc29d1c0a_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,东南向方正三房，精装修，业主自住,949万,低楼层                                    (共33层)                                                                      | 2000年建 |                                3室1厅 | 113平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/7eed34fb-e942-45d6-91f2-3a5d5fa11782_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,配套设施齐全，交通便利。一梯两户，小高层带电梯新上,765万,低楼层                                    (共11层)                                                                      | 2002年建 |                                2室1厅 | 85.88平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/6d40b8f9-d52c-4e76-ac40-1c8fecd8afec_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,朝南向采光好两房方正户型 居家小区,540万,中楼层                                    (共33层)                                                                      | 2007年建 |                                2室1厅 | 60.05平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/1a8e4ff2-2774-4285-b2cc-435de5a990bc_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
