20210128,龙岗区,布吉南岭,爆炸急卖，满五唯一好房，看房方便。必看好房,500万,高楼层                                    (共31层)                                                                      | 2016年建 |                                3室1厅 | 87平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_5cqO23CSW_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,满五唯一南北通透，三加一房，带大天台花园， 视野好,330万,高楼层                                    (共7层)                                                                      | 1994年建 |                                3室1厅 | 89.09平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_Zg73XXECf_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,文峰华庭朝北精装3房 中间楼层 单本证必看好房,470万,中楼层                                    (共33层)                                                                      | 2014年建 |                                3室1厅 | 89.03平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_ROqeKVRU2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,，精装修，可拎包入住，户型好，朝南看风景好。。。,320万,高楼层                                    (共21层)                                                                      | 2003年建 |                                3室1厅 | 79.95平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_u0xwramhb_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,看山景精装修大四房单本证采光通透满五年唯一少量欠款,680万,中楼层                                    (共33层)                                                                      | 2014年建 |                                4室1厅 | 117.08平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_18h8MrKge_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,求水山大社区，厅出阳台，东南朝向，户型方正实用两房,368万,中楼层                                    (共11层)                                                                      | 2004年建 |                                2室1厅 | 70.11平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_hpqNNkMb6_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,朝东南向，楼层好，精装修，户型方正，入户花园必看好房,495万,高楼层                                    (共42层)                                                                      | 2015年建 |                                3室2厅 | 87.66平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_Tc9wqljFD_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,精装三房，满五年唯一，社区新，朝南看水库山景,410万,中楼层                                    (共21层)                                                                      | 2014年建 |                                3室1厅 | 87.43平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_hUvWGDgjt_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,恒大国香山 3室1厅 南,470万,中楼层                                    (共41层)                                                                      | 2015年建 |                                3室1厅 | 87.74平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_EvkBVU6r2_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,诚售 高楼层通风采光无遮挡 万科品牌物业安全有保障,495万,高楼层                                    (共30层)                                                                      | 2013年建 |                                3室2厅 | 88.11平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_ckBlgjdK0_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,鸿润豪苑电梯房，安静满五唯一 无增值税必看好房,210万,中楼层                                    (共18层)                                                                      | 2009年建 |                                1室1厅 | 47.06平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_GofLgWd22_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,恒大品牌次新房，高层看山看湖，环境好，诚心出售！新上,550万,中楼层                                    (共41层)                                                                      | 2015年建 |                                3室2厅 | 88平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_ASGCibe4x_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,安鸿峰景苑 4室2厅 南 北,510万,低楼层                                    (共21层)                                                                      | 2014年建 |                                4室2厅 | 115.89平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_vyzfsIG3q_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,佳兆业新都汇 3室2厅 东南,550万,中楼层                                    (共30层)                                                                      | 2013年建 |                                3室2厅 | 92.74平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_ABEPQdo8D_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,鸿润豪苑，满五年唯一，朝南向，无遮挡看山景,320万,低楼层                                    (共18层)                                                                      | 2009年建 |                                2室1厅 | 68.47平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_8VVDQATbd_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,万科公园里东南三房，业主自住保养好，满五唯一,500万,中楼层                                    (共32层)                                                                      | 2014年建 |                                3室2厅 | 88.57平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_un3wF9p42_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,公园旁水山缘 精装两房 满五唯一 南向,368万,中楼层                                    (共11层)                                                                      | 2004年建 |                                2室2厅 | 66.8平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_kVkVCvOlq.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,此房满五年红本在手，装修好，光线好，业主诚心出售。必看好房,320万,高楼层                                    (共7层)                                                                      | 1998年建 |                                3室2厅 | 79.71平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_NdGTloqrq_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,大族河山精装三房，中间楼层，东南朝向，居家舒适安静,460万,中楼层                                    (共33层)                                                                      | 2015年建 |                                3室1厅 | 77.2平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_KF1rMc41T_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,布吉 大世纪水山缘 南北对流 精装两房,380万,中楼层                                    (共11层)                                                                      | 2004年建 |                                2室1厅 | 72.84平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_onzl1OBh2_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,近地铁口精致两房业主诚卖430万,450万,高楼层                                    (共30层)                                                                      | 2013年建 |                                2室2厅 | 66.75平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_CKHJgwo7V_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,爆炸急卖！全小区唯一在卖户型看公园安静，实用超高。新上,520万,中楼层                                    (共32层)                                                                      | 2014年建 |                                3室1厅 | 87.73平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_XC9lWyija_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,满五唯一南向2房，中间楼层，位置佳必看好房,365万,中楼层                                    (共11层)                                                                      | 2005年建 |                                2室1厅 | 68.27平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_PY41yKA6o.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,精美小三房，自住保养好看，梧桐山风景好,530万,中楼层                                    (共40层)                                                                      | 2017年建 |                                3室2厅 | 86.74平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_6LowAtzaq_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,此房楼层好，朝南通透视野好，精装修的五房,630万,中楼层                                    (共41层)                                                                      | 2015年建 |                                5室2厅 | 88.9平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_0S9GTjdjB_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,满五唯一住宅，税费少，业主自住房源装修保养好,388万,中楼层                                    (共11层)                                                                      | 2004年建 |                                2室1厅 | 70.11平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_j92z7rCLL.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,安鸿峰景苑 3室1厅 东南新上,450万,高楼层                                    (共21层)                                                                      | 2014年建 |                                3室1厅 | 87.48平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_un9pK88Zc_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,满五唯一税费少，中间楼层，住家舒适。新上,260万,中楼层                                    (共11层)                                                                      | 2005年建 |                                2室1厅 | 42.99平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_lkE8A8Fkk_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,联美新天地 3室2厅 东北,550万,低楼层                                    (共24层)                                                                      | 2016年建 |                                3室2厅 | 89.48平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_TKOK4eXoL_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,阳光翠园标准两房  户型方正中间楼层装修保养好,280万,中楼层                                    (共8层)                                                                      | 2001年建 |                                2室1厅 | 63.06平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_R3gRdHEoG_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,满五唯一免个税，高楼层采光通风好，明厨明卫住家舒适,365万,高楼层                                    (共29层)                                                                      | 2011年建 |                                2室1厅 | 76.47平米                                  | 南 东,http://ke-image.ljcdn.com/110000-inspection/pc1_AALa92JYT.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,万科公园里三期 3室1厅 西南,550万,低楼层                                    (共31层)                                                                      | 2016年建 |                                3室1厅 | 86.95平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_z2q31MoFF_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
