20210128,龙岗区,布吉石芽岭,满五年，一梯二户，南北通，厅出阳台，通风采光好必看好房,430万,高楼层                                    (共6层)                                                                      | 2006年建 |                                3室2厅 | 77.33平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_udlLYaJ58_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,14号线石芽岭站 安静小两房 看别墅 首付99万起,330万,低楼层                                    (共6层)                                                                      | 2007年建 |                                2室1厅 | 63.81平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_Qnabz6LwK_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,此房满五唯一红本在手，业主诚心出售，自住，高拓展必看好房,585万,高楼层                                    (共22层)                                                                      | 2008年建 |                                4室1厅 | 88平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_CGtV5npQx_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,万隆苑 2室1厅 南必看好房,265万,低楼层                                    (共6层)                                                                      | 2002年建 |                                2室1厅 | 50.8平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_8jGT7sKqY_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,花园正中位置，满五年，业主自住，装修保养好！必看好房,570万,高楼层                                    (共32层)                                                                      | 2008年建 |                                4室4厅 | 115.71平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_aTQt6vDhF_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,龙园意境双拼户型，大四房，业主诚心放卖必看好房,147万,中楼层                                    (共32层)                                                                      | 2008年建 |                                4室1厅 | 26.4平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_2OfahcxwU_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,龙岗布吉 14号线，公园边生活圈方便，户型实用必看好房,330万,中楼层                                    (共6层)                                                                      | 2006年建 |                                2室1厅 | 63.62平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_v5RyBlodj_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,万隆苑 2室1厅 东南 东必看好房,288万,高楼层                                    (共6层)                                                                      | 2002年建 |                                2室1厅 | 56.05平米                                  | 东南 东,http://ke-image.ljcdn.com/110000-inspection/pc1_JrCTdfUDE_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,此房业主诚意出售，满五年，唯一物业，税费少,325万,高楼层                                    (共8层)                                                                      | 2000年建 |                                2室2厅 | 72平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_DOdJSeT4g_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,此房满五年，唯一，厅出阳台，看园景，石芽岭山景必看好房,468万,中楼层                                    (共22层)                                                                      | 2008年建 |                                2室2厅 | 81.26平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_uqWaTXh9X_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,宇宏健康花城 5室1厅 南 北,980万,低楼层                                    (共32层)                                                                      | 2017年建 |                                5室1厅 | 142.62平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_FUyGA7AFM_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,满五年税费少 现在诚心卖 户型好 采光好,600万,低楼层                                    (共33层)                                                                      | 2008年建 |                                4室2厅 | 124.6平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_uK1BmWF9O_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,龙园意境高层双拼房，精装修保养好，业主诚心放卖必看好房,473万,中楼层                                    (共32层)                                                                      | 2008年建 |                                4室1厅 | 84.94平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_MPchP74xN_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,中海怡瑞山居，精装三房，一楼带花园,450万,低楼层                                    (共6层)                                                                      | 2007年建 |                                3室2厅 | 92.91平米                                  | 南 北,http://ke-image.ljcdn.com/440300-inspection/prod-9070fbba-9f78-49f7-b39f-10a1c0845f53.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,精装修，自住的，房子保养很好。必看好房,630万,中楼层                                    (共30层)                                                                      | 2016年建 |                                3室1厅 | 75.59平米                                  | 东 西,http://ke-image.ljcdn.com/110000-inspection/pc1_NSzfHZu51_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,华浩源 景园 满五唯一 大三房 朝南 中间楼层 大阳台必看好房,510万,中楼层                                    (共20层)                                                                      | 2008年建 |                                3室1厅 | 97.08平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_809T0UiQ6_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
