20210126,从化,新城片区,托斯卡纳(从化区),11504元/m2,3套在售二手房
20210126,从化,新城片区,荔景园(从化区),13562元/m2,0套在售二手房
20210126,从化,新城片区,雍禾苑,17981元/m2,5套在售二手房
20210126,从化,新城片区,貝月湾,14357元/m2,1套在售二手房
20210126,从化,新城片区,青云花园,8787元/m2,0套在售二手房
20210126,从化,新城片区,凤仪东路,10963元/m2,0套在售二手房
20210126,从化,新城片区,城南商业大楼,暂无,1套在售二手房
20210126,从化,新城片区,温馨家园,12242元/m2,0套在售二手房
20210126,从化,新城片区,玫瑰園,14190元/m2,1套在售二手房
20210126,从化,新城片区,東富廣場,18397元/m2,0套在售二手房
20210126,从化,新城片区,青云路,9898元/m2,0套在售二手房
20210126,从化,新城片区,金业岸大厦,12453元/m2,7套在售二手房
20210126,从化,新城片区,蓝田西路,12733元/m2,0套在售二手房
20210126,从化,新城片区,荔枝花园,暂无,0套在售二手房
20210126,从化,新城片区,中田南小区,10984元/m2,0套在售二手房
20210126,从化,新城片区,名景轩,16532元/m2,1套在售二手房
20210126,从化,新城片区,帝京华府,暂无,0套在售二手房
20210126,从化,新城片区,富逸华庭,8299元/m2,0套在售二手房
20210126,从化,新城片区,碧溪路,8950元/m2,0套在售二手房
20210126,从化,新城片区,中蓝东路,11142元/m2,0套在售二手房
20210126,从化,新城片区,骏雅名庭,暂无,0套在售二手房
20210126,从化,新城片区,怡富绿色家园,12793元/m2,0套在售二手房
20210126,从化,新城片区,建宏·德堡花苑,13453元/m2,0套在售二手房
20210126,从化,新城片区,华兴花园(从化区),暂无,0套在售二手房
20210126,从化,新城片区,公安宿舍楼,暂无,0套在售二手房
20210126,从化,新城片区,城南路,12316元/m2,0套在售二手房
20210126,从化,新城片区,建云东路,11258元/m2,0套在售二手房
20210126,从化,新城片区,开源路,8840元/m2,0套在售二手房
20210126,从化,新城片区,俊嘉汇绿名居,暂无,1套在售二手房
20210126,从化,新城片区,怡景楼(街口),暂无,0套在售二手房
20210126,从化,新城片区,都市华庭(从化),暂无,0套在售二手房
20210126,从化,新城片区,新城花园(从化区),暂无,0套在售二手房
20210126,从化,新城片区,宏润花园,暂无,0套在售二手房
20210126,从化,新城片区,雅景居,暂无,0套在售二手房
20210126,从化,新城片区,河滨南路,7866元/m2,0套在售二手房
20210126,从化,新城片区,建云西路,暂无,0套在售二手房
20210126,从化,新城片区,镇安社区,暂无,1套在售二手房
20210126,从化,新城片区,新城东路,12134元/m2,0套在售二手房
20210126,从化,新城片区,彩雲花園,暂无,0套在售二手房
20210126,从化,新城片区,新创展大厦,暂无,0套在售二手房
20210126,从化,新城片区,乔安楼居住小区,14657元/m2,0套在售二手房
20210126,从化,新城片区,汇景名轩,暂无,0套在售二手房
20210126,从化,新城片区,兴华大厦,暂无,0套在售二手房
20210126,从化,新城片区,新城商业大厦,暂无,0套在售二手房
20210126,从化,新城片区,府前路(从化),暂无,0套在售二手房
20210126,从化,新城片区,蓝田东路,暂无,0套在售二手房
20210126,从化,新城片区,云星路,暂无,0套在售二手房
20210126,从化,新城片区,中田西路,暂无,0套在售二手房
20210126,从化,新城片区,凤仪西路,11135元/m2,1套在售二手房
20210126,从化,新城片区,汇贤居,暂无,0套在售二手房
20210126,从化,新城片区,洪山南路,暂无,0套在售二手房
20210126,从化,新城片区,城南北二巷,暂无,0套在售二手房
20210126,从化,新城片区,测试1,暂无,0套在售二手房
20210126,从化,新城片区,中田北路,暂无,0套在售二手房
20210126,从化,新城片区,凤仪东六巷,暂无,0套在售二手房
20210126,从化,新城片区,建云东五巷,暂无,1套在售二手房
20210126,从化,新城片区,城南北路,暂无,0套在售二手房
20210126,从化,新城片区,晓逸轩,暂无,0套在售二手房
